tweet_id,company,date,username,text,replies,reposts,likes,bookmarks,views,comment_count,total_engagement,main_sentiment,avg_comment_sentiment
1878804210986479685,samsung,2025-04-13,SamsungMobile,samsung leads sleep technology with expansion and app update,33,75,561,16,63395,10,685,0.0,0.17364197530864198
1881763856546169194,samsung,2025-04-13,SamsungMobile,d ready to meet your true ai companion visit the space and discover how enriches your daily life doors open tomorrow,97,209,1798,37,93243,152,2141,0.1375,0.07894553437106629
1895323042286567440,samsung,2025-04-13,SamsungMobile,series offers enhanced convenience on the series,33,29,271,11,36267,10,344,0.1,0.09820707070707071
1896062921077375472,samsung,2025-04-13,SamsungMobile,samsung marks a step forward with ai for everyone by introducing the new g g and g,101,61,483,20,50805,48,665,0.13636363636363635,0.013040628855846243
1897497432537358622,samsung,2025-04-13,SamsungMobile,world sleep day recovering from daylight savings may take more than three weeks youngest hit hardest,35,20,174,8,37636,10,237,0.5,0.045984848484848496
1900177650213412984,samsung,2025-04-13,SamsungMobile,vanessa hill a sleep scientist explores how technology improves sleep with healthy routines and innovations she sees a future where everyone has quality sleep,33,13,183,12,36448,61,241,0.25,-0.0273391812865497
1907405936110776355,samsung,2025-04-13,SamsungMobile,samsung announced the new fe and galaxy tab s fe see how the new galaxy tab s fe series boosts your everyday tasks with intelligent features that come to life with stunning clarity on a big vibrant screen,34,32,280,6,38683,58,352,0.21991341991341992,0.09258794845001742
1909598818976608442,samsung,2025-04-13,SamsungMobile,samsung and collaborate to advance sleep apnea detection and beyond,98,31,263,12,34886,163,404,0.0,0.055245471089420135
1878804210986479685,samsung,2025-04-14,SamsungMobile,samsung leads sleep technology with expansion and app update,33,75,560,16,63417,10,684,0.0,0.17364197530864198
1881763856546169194,samsung,2025-04-14,SamsungMobile,d ready to meet your true ai companion visit the space and discover how enriches your daily life doors open tomorrow,97,209,1795,37,93285,85,2138,0.1375,0.0817055422647528
1895323042286567440,samsung,2025-04-14,SamsungMobile,series offers enhanced convenience on the series,33,30,272,11,36517,9,346,0.1,0.048007856341189675
1896062921077375472,samsung,2025-04-14,SamsungMobile,samsung marks a step forward with ai for everyone by introducing the new g g and g,101,61,484,20,51114,48,666,0.13636363636363635,0.021736281029759292
1900177650213412984,samsung,2025-04-14,SamsungMobile,vanessa hill a sleep scientist explores how technology improves sleep with healthy routines and innovations she sees a future where everyone has quality sleep,33,13,184,13,36978,15,243,0.25,-0.027827380952380944
1907405936110776355,samsung,2025-04-14,SamsungMobile,samsung announced the new fe and galaxy tab s fe see how the new galaxy tab s fe series boosts your everyday tasks with intelligent features that come to life with stunning clarity on a big vibrant screen,38,34,283,5,40099,18,360,0.21991341991341992,0.12743125701459035
1909598818976608442,samsung,2025-04-14,SamsungMobile,samsung and collaborate to advance sleep apnea detection and beyond,119,32,265,15,37976,136,431,0.0,0.051813906258350695
1895323042286567440,samsung,2025-04-15,SamsungMobile,series offers enhanced convenience on the series,33,30,272,12,36862,9,347,0.1,0.048007856341189675
1896062921077375472,samsung,2025-04-15,SamsungMobile,samsung marks a step forward with ai for everyone by introducing the new g g and g,102,61,484,21,51571,67,668,0.13636363636363635,0.031092181111712365
