username,date,text,replies,reposts,likes,bookmarks,views
NintendoAmerica,2025-04-03T15:20:23.000Z,"For DK there's always a way forward! And that way often involves punching stuff.
 
Check out Nintendo Treehouse: Live | Nintendo Switch 2: https://ninten.do/6010qSISo",365,1313,10418,717,1768146
kadavi1202,2025-04-03T15:27:39.000Z,"Sorry, $60 is the best I can do",6,12,440,4,11305
MoebiusX9,2025-04-03T15:21:04.000Z,Monkey!,4,5,370,19,9814
ExpandDong15,2025-04-03T15:21:51.000Z,My goat so expressive,5,7,333,7,9864
Chad_Concelmo,2025-04-03T15:29:34.000Z,I have a feeling this game is going to be my entire personality this summer.,3,3,112,3,8307
blockxs,2025-04-03T15:39:41.000Z,Kindly lower the prices,0,0,23,0,4053
RoastM4ster9000,2025-04-03T15:22:55.000Z,DK still punching stuff while Nintendo been punching their fans in the wallet since 1985. Y'all really charging $70 for Mario to jump around like inflation ain't real smh,11,0,22,0,2853
TheLostGlitches,2025-04-03T16:46:37.000Z,,0,0,14,0,4441
SpeederLight1,2025-04-03T17:34:43.000Z,GO DK GO,0,0,5,0,1319
wealthium0,2025-04-03T15:22:03.000Z,Donkey dick needs a banana,0,0,2,0,2022
Witchypink19,2025-04-03T16:36:22.000Z,,0,0,2,0,792
ToonQueen_JM,2025-04-03T15:22:37.000Z,Looks good but lower the dang prices,2,2,158,2,5070
allansoty,2025-04-03T15:21:00.000Z,"Please, drop the prices!",6,2,149,2,9253
ShaunRiley177,2025-04-03T15:21:13.000Z,Drop the prices,0,0,112,0,2038
JPacers98,2025-04-03T15:22:21.000Z,Decrease the prices or we’re not buying,3,0,71,0,3706
TeedgeeOfficial,2025-04-03T15:29:50.000Z,it genuinely feels so weird to see people NOT be fed up with a NOA tweet involving dk,0,2,48,3,5796
huh0152,2025-04-03T15:26:00.000Z,Nobody buying this,33,0,45,0,8747
BobbyTaylor,2025-04-03T19:01:51.000Z,you are pricing yourself our of a good portion of the market,2,0,37,0,1940
AlbarnsDemon,2025-04-03T15:23:04.000Z,Okay but can you drop the prices.,0,0,39,0,1701
jagodakloda,2025-04-03T15:20:42.000Z,Drop the prices,2,0,37,0,3427
DomesticFishy,2025-04-03T15:21:00.000Z,I LITERALLY CRIED WHEN THIS GAME WAS SHOWN. THE BEST NINTENDO CHARACTER EVER ,3,0,34,2,5899
loinmin,2025-04-03T15:22:31.000Z,hey you should listen to your customers.,2,0,34,0,976
maxpower2020,2025-04-03T15:29:45.000Z,That’s $100 please,2,0,32,0,7050
PassingPaisano,2025-04-03T15:30:09.000Z,Bring back physical copies,6,0,23,0,5757
kenkaneki180,2025-04-03T15:21:20.000Z,This game has nothing to do with Donkey Kong and expecting 80€ for it is an audacity,8,0,22,0,5706
AncientArgonaut,2025-04-03T18:35:46.000Z,"""It really makes you think outside the box"" kinda ironic since you don't really have to think at all by the looks of it.",0,0,21,0,4419
stuartjingles,2025-04-03T15:28:48.000Z,"@NintendoAmerica @Nintendo Your poor treatment of players has gotten out of hand. From going after streamers to charging absurd amounts of money for remakes and ports, you have become more anti-consumer than any other platform. The Switch 2 is now just the Wii U 2.",6,0,18,0,664
JediNova1,2025-04-03T15:21:25.000Z,"I love it, but please drop the prices",0,0,16,0,1039
MarcusTricarico,2025-04-03T15:26:45.000Z,King K Rool? ,0,0,10,0,529
reviewsdino2,2025-04-03T15:32:55.000Z,"I would care if I was actually able to get a Switch 2, but the scalpers are already preventing that from happening from a number of UK companies.",0,0,11,0,3140
wafflezandtacoz,2025-04-03T15:27:50.000Z,DROP THE PRICE NINTENDO,2,0,10,0,1984
super8bitgamer,2025-04-03T15:21:54.000Z,I really hope Donkey Kong's redesign is temporary,13,2,8,0,4434
CommanderBluez,2025-04-03T15:23:21.000Z,NaN,0,0,8,0,634
Th3RedCom3t,2025-04-03T20:28:05.000Z,Booty be lookin good Matey,0,0,8,0,524
ZodiacThundaga,2025-04-03T16:46:00.000Z,"Woah, just like Red Faction.",0,0,7,2,2013
VaultOfAss,2025-04-03T15:21:32.000Z,k that's cool and all but what about Donkey Kong Country Returns HD,7,0,6,0,3376
figureout17,2025-04-03T15:26:44.000Z,#droptheprices,0,0,4,0,272
HittingCrits,2025-04-03T15:27:35.000Z,DK Rampage Total Destruction.,0,0,4,0,473
stuartjingles,2025-04-03T15:28:48.000Z,"@NintendoAmerica @Nintendo Your poor treatment of players has gotten out of hand. From going after streamers to charging absurd amounts of money for remakes and ports, you have become more anti-consumer than any other platform. The Switch 2 is now just the Wii U 2.",6,0,18,0,664
JediNova1,2025-04-03T15:21:25.000Z,"I love it, but please drop the prices",0,0,16,0,1039
MarcusTricarico,2025-04-03T15:26:45.000Z,King K Rool? ,0,0,10,0,529
reviewsdino2,2025-04-03T15:32:55.000Z,"I would care if I was actually able to get a Switch 2, but the scalpers are already preventing that from happening from a number of UK companies.",0,0,11,0,3140
wafflezandtacoz,2025-04-03T15:27:50.000Z,DROP THE PRICE NINTENDO,2,0,10,0,1984
super8bitgamer,2025-04-03T15:21:54.000Z,I really hope Donkey Kong's redesign is temporary,13,2,8,0,4434
CommanderBluez,2025-04-03T15:23:21.000Z,NaN,0,0,8,0,634
Th3RedCom3t,2025-04-03T20:28:05.000Z,Booty be lookin good Matey,0,0,8,0,524
ZodiacThundaga,2025-04-03T16:46:00.000Z,"Woah, just like Red Faction.",0,0,7,2,2013
VaultOfAss,2025-04-03T15:21:32.000Z,k that's cool and all but what about Donkey Kong Country Returns HD,7,0,6,0,3376
figureout17,2025-04-03T15:26:44.000Z,#droptheprices,0,0,4,0,272
HittingCrits,2025-04-03T15:27:35.000Z,DK Rampage Total Destruction.,0,0,4,0,473
LoperWing,2025-04-03T15:35:12.000Z,#DROPTHEPRICE,0,0,4,0,140
AlJR86,2025-04-03T17:35:34.000Z,Is that a new game or one from 15 years ago?,2,0,6,0,3678
Oswald_A_Lisker,2025-04-03T18:06:05.000Z,"an interesting concept for a game. But I miss Kremlings, not that it matters. I think I'm finally aging out of Nintendo games. Metroid Prime 4 might be my last one.",0,0,6,2,1901
Azomy1001,2025-04-03T23:52:31.000Z,U can just destroy the level  ,0,0,6,0,47
docfigueroa86,2025-04-03T15:58:43.000Z,#droptheprices,0,0,3,0,132
SaulPeal,2025-04-03T17:45:35.000Z,Red Faction did this in 2001.,0,0,5,0,1513
SageofAges_PPN,2025-04-03T21:14:45.000Z,"There isn't if people can't buy the games
#droptheprice",0,0,3,0,75
Zankai_93,2025-04-03T15:25:41.000Z,#DropthePrice,0,0,4,0,193
g_bascunana,2025-04-03T16:05:11.000Z,#droptheprice,0,0,4,0,741
DariusR24535200,2025-04-03T18:03:32.000Z,The gameplay looks so fun and I love how expressive Donkey Kong is I definitely can't wait to get this one. ,0,0,4,0,335
PapaC92,2025-04-03T15:22:32.000Z,DK 65 confirmed,0,0,3,0,2478
FrankBa80120704,2025-04-03T15:23:26.000Z,Just like Wreck-It Ralph,3,0,2,0,4192
Tom_Foolery22,2025-04-03T19:54:47.000Z,Drop the price,0,0,2,0,322
Quadraxis666,2025-04-05T00:37:30.000Z,Donkey Kong 64 2,0,0,2,0,124
sjfostersound,2025-04-03T15:22:31.000Z,Not used to seeing DK with headgear - always see Diddy with a hat though,2,0,0,0,4887
idrawrobots,2025-04-03T15:32:33.000Z,This game is incredible.,0,0,0,0,1418
VibingAlex69,2025-04-03T16:49:02.000Z,"Guys, what's happening in this game? You just walk around and destroy stuff? But why?",0,0,0,0,361
unundon3,2025-04-04T05:24:00.000Z,Lower the prices,0,0,0,0,146
2sallads,2025-04-03T16:35:40.000Z,Day 1 purchase,0,0,0,0,1292
TheSulkyFireman,2025-04-03T18:10:38.000Z,I'm just here for all the comments..,0,0,0,0,7
LoperWing,2025-04-03T15:35:12.000Z,#DROPTHEPRICE,0,0,4,0,140
AlJR86,2025-04-03T17:35:34.000Z,Is that a new game or one from 15 years ago?,2,0,6,0,3678
Oswald_A_Lisker,2025-04-03T18:06:05.000Z,"an interesting concept for a game. But I miss Kremlings, not that it matters. I think I'm finally aging out of Nintendo games. Metroid Prime 4 might be my last one.",0,0,6,2,1901
Azomy1001,2025-04-03T23:52:31.000Z,U can just destroy the level  ,0,0,6,0,47
docfigueroa86,2025-04-03T15:58:43.000Z,#droptheprices,0,0,3,0,132
SaulPeal,2025-04-03T17:45:35.000Z,Red Faction did this in 2001.,0,0,5,0,1513
SageofAges_PPN,2025-04-03T21:14:45.000Z,"There isn't if people can't buy the games
#droptheprice",0,0,3,0,75
Zankai_93,2025-04-03T15:25:41.000Z,#DropthePrice,0,0,4,0,193
g_bascunana,2025-04-03T16:05:11.000Z,#droptheprice,0,0,4,0,741
DariusR24535200,2025-04-03T18:03:32.000Z,The gameplay looks so fun and I love how expressive Donkey Kong is I definitely can't wait to get this one. ,0,0,4,0,335
PapaC92,2025-04-03T15:22:32.000Z,DK 65 confirmed,0,0,3,0,2478
FrankBa80120704,2025-04-03T15:23:26.000Z,Just like Wreck-It Ralph,3,0,2,0,4192
Tom_Foolery22,2025-04-03T19:54:47.000Z,Drop the price,0,0,2,0,322
Quadraxis666,2025-04-05T00:37:30.000Z,Donkey Kong 64 2,0,0,2,0,124
sjfostersound,2025-04-03T15:22:31.000Z,Not used to seeing DK with headgear - always see Diddy with a hat though,2,0,0,0,4887
idrawrobots,2025-04-03T15:32:33.000Z,This game is incredible.,0,0,0,0,1418
VibingAlex69,2025-04-03T16:49:02.000Z,"Guys, what's happening in this game? You just walk around and destroy stuff? But why?",0,0,0,0,361
unundon3,2025-04-04T05:24:00.000Z,Lower the prices,0,0,0,0,146
2sallads,2025-04-03T16:35:40.000Z,Day 1 purchase,0,0,0,0,1292
TheSulkyFireman,2025-04-03T18:10:38.000Z,I'm just here for all the comments..,0,0,0,0,7
Nes_Mimikyu,2025-04-03T15:22:23.000Z,I speak for everyone when I say we want game prices to go up!!!,0,0,3,0,1042
TheOrcaZilla,2025-04-03T15:28:58.000Z,Check out your live chat,0,0,3,0,740
SuaveVillain,2025-04-03T15:34:50.000Z,That is nice and all fix the pricing of the games.,0,0,3,0,163
chrisgohman,2025-04-03T15:37:56.000Z,Nobody paying $90 for this,0,0,3,0,153
GringoStarr2029,2025-04-03T15:54:10.000Z,"I honestly from the earlier parts of the trailer thought we were going to see the Rareware logo pop up. Truly gave me the DK 64 vibes.

Red Faction DK looks amazing though.",0,0,0,0,277
XD93344674,2025-04-03T16:16:31.000Z, DROP THE PRICES FOR BRAZIL ,0,0,3,0,110
ssignment,2025-04-04T02:59:15.000Z,"This console is only for rich people, sorry brokies",0,0,3,0,21
LunarLux_,2025-04-03T15:21:17.000Z,I WILL BREAK EVERYTHING ,0,0,2,0,780
SJogik,2025-04-03T15:23:27.000Z,#DROPTHEPRICE and this doesn't feel like DK...,0,0,2,0,298
ManixyzAbyssal,2025-04-03T15:23:47.000Z,Maybe you could get DK to punch down your prices.,0,0,2,0,450
DannyBradf81475,2025-04-03T15:35:36.000Z,Can’t wait to spend $240 to look at some physical mario games and donkey kong! Then i’ll be able to save up for the real console afterward!,4,0,0,0,141
ElSlug,2025-04-03T19:47:50.000Z,"That ain’t donkey Kong, that’s Seth Rogen",0,0,0,0,52
Nasdorachi,2025-04-03T22:03:48.000Z,Red Faction?,0,0,0,0,1831
jiwong_kim,2025-04-04T00:11:52.000Z,Wow that is so cool ,0,0,0,0,9
VaughnFry,2025-04-04T05:21:59.000Z,Is Donkey Kong an gorilla or a mole?,0,0,0,0,773
Sumankharia28,2025-04-03T17:49:26.000Z,"Classic DK, always smashing through every obstacle ahead!",0,0,0,0,40
churvikv,2025-04-03T16:11:57.000Z,DK knows how to handle any obstacle,0,0,0,0,36
TyNN80s,2025-04-06T16:38:02.000Z,Is this the Lost World from DKC 2 before it becomes the Lost World???!!!  #DonkeyKongBananza #DonkeyKongCountry2,0,0,0,0,89
