username,date,text,replies,reposts,likes,bookmarks,views
theapplehub,2025-03-31T17:57:18.000Z,"These are the new emoji available today with iOS 18.4

Which one is your favorite?",274,636,5862,348,449797
tslecomte,2025-03-31T20:07:08.000Z,I'm still saying that this will be the most used emoji of the year... ,4,11,222,2,10689
ReddePayments,2025-03-31T20:52:10.000Z,FINALLY a turnip. ,0,0,5,0,2956
LucasBryner3,2025-04-01T14:26:06.000Z,They looks soooo sad ,0,0,0,0,1450
iHateApplee,2025-03-31T20:00:41.000Z,This is the only thing Apple does now. Apple can't make AI so it just give users more emojis ,7,5,52,3,8810
HeyPrashant_,2025-03-31T17:58:13.000Z,"Wow what an update.

Emojis

Wow  

That was much needed.

My life almost stopped without these ",4,2,56,0,9822
lakshyalark,2025-03-31T18:00:40.000Z,When it's Monday,0,2,45,0,2250
king_ape6,2025-03-31T18:04:23.000Z,None of them. I can make better ones with Genmoji,0,0,8,0,3760
_JasonRyan,2025-03-31T22:11:51.000Z,The New emojis are led by an emoji that's depressed...just great.,0,0,7,0,2840
akashtiwari1007,2025-03-31T19:07:42.000Z,"Definitely needed that Beetroot one !! Life has been unfulfilling without it … I mean I can live with a poor Apple Intelligence but not without a beetroot emoji !! 

#Sarcasm",0,0,5,0,3354
Alex_kndy,2025-04-01T22:37:57.000Z,"We are in 2025, the music industry is at an ATH yet @Apple @theapplehub have still not provided a TURNTABLE emoji 
",0,0,5,0,2057
theapplehub,2025-03-31T17:57:18.000Z,"These are the new emoji available today with iOS 18.4

Which one is your favorite?",274,636,5862,348,449797
tslecomte,2025-03-31T20:07:08.000Z,I'm still saying that this will be the most used emoji of the year... ,4,11,222,2,10689
ReddePayments,2025-03-31T20:52:10.000Z,FINALLY a turnip. ,0,0,5,0,2956
LucasBryner3,2025-04-01T14:26:06.000Z,They looks soooo sad ,0,0,0,0,1450
iHateApplee,2025-03-31T20:00:41.000Z,This is the only thing Apple does now. Apple can't make AI so it just give users more emojis ,7,5,52,3,8810
HeyPrashant_,2025-03-31T17:58:13.000Z,"Wow what an update.

Emojis

Wow  

That was much needed.

My life almost stopped without these ",4,2,56,0,9822
lakshyalark,2025-03-31T18:00:40.000Z,When it's Monday,0,2,45,0,2250
king_ape6,2025-03-31T18:04:23.000Z,None of them. I can make better ones with Genmoji,0,0,8,0,3760
_JasonRyan,2025-03-31T22:11:51.000Z,The New emojis are led by an emoji that's depressed...just great.,0,0,7,0,2840
akashtiwari1007,2025-03-31T19:07:42.000Z,"Definitely needed that Beetroot one !! Life has been unfulfilling without it … I mean I can live with a poor Apple Intelligence but not without a beetroot emoji !! 

#Sarcasm",0,0,5,0,3354
Alex_kndy,2025-04-01T22:37:57.000Z,"We are in 2025, the music industry is at an ATH yet @Apple @theapplehub have still not provided a TURNTABLE emoji 
",0,0,5,0,2057
uncle_vaughn,2025-03-31T17:59:22.000Z,Splatter is goated,0,0,4,0,2873
0karma108,2025-03-31T18:00:26.000Z,What a waste,0,0,4,0,2592
SaasJunctionHQ,2025-03-31T18:20:39.000Z,iOS 18.4 Updates:,0,0,3,0,4624
prayerdude,2025-03-31T19:07:08.000Z,🫆,0,0,3,0,2018
Draghub1,2025-03-31T18:01:15.000Z,Probs the face lmao ,0,0,2,0,5363
GeekB_Apple,2025-03-31T18:37:21.000Z,🫩,0,0,2,0,3554
FreedomIgnite,2025-04-01T05:41:37.000Z,1,0,0,2,0,700
johnwalker_101,2025-03-31T17:59:30.000Z,Kinda mid,0,0,0,0,3374
therealmev__,2025-03-31T18:01:56.000Z,Fingerprint,0,0,0,0,2312
TheTribalBozo,2025-03-31T17:57:38.000Z,This one,0,0,4,0,1156
unghetto_mannie,2025-03-31T18:14:52.000Z,NaN,0,0,4,0,1021
ceferrzayevv,2025-03-31T18:53:16.000Z,🫩🫆🫟🪏🪾🪉🫜,0,0,2,0,347
TechHighest,2025-04-01T15:33:26.000Z,🫩,0,0,2,0,149
iOSDeveloperGuy,2025-04-01T16:53:33.000Z,NaN,0,0,2,0,1894
TheTribalBozo,2025-03-31T17:57:38.000Z,This one,0,0,4,0,1156
unghetto_mannie,2025-03-31T18:14:52.000Z,NaN,0,0,4,0,1021
ceferrzayevv,2025-03-31T18:53:16.000Z,🫩🫆🫟🪏🪾🪉🫜,0,0,2,0,347
TechHighest,2025-04-01T15:33:26.000Z,🫩,0,0,2,0,149
iOSDeveloperGuy,2025-04-01T16:53:33.000Z,NaN,0,0,2,0,1894
UdehKelechi4,2025-03-31T17:58:41.000Z,All & them,0,0,0,0,532
WBCrypto1,2025-03-31T18:03:23.000Z,No siri ai stuff? What a bummer,0,0,0,0,656
Sw1Imran,2025-03-31T18:06:46.000Z,Looks Adorable I like tree 1,0,0,0,0,2334
Muzahinur1,2025-03-31T18:16:22.000Z,Useless,0,0,0,0,987
cindertheace,2025-03-31T18:17:47.000Z,🫆,0,0,0,0,3083
pedruchie,2025-03-31T18:37:10.000Z,I just updated and it gave me the old Siri animation... ,0,0,0,0,486
applereportplus,2025-03-31T19:14:00.000Z,🫆🫩,0,0,0,0,200
rubencavazos,2025-03-31T19:59:18.000Z,Lame,0,0,0,0,173
orchid_org,2025-03-31T20:36:33.000Z,NaN,0,0,0,0,93
