username,date,text,replies,reposts,likes,bookmarks,views
theapplehub,2025-04-08T19:20:28.000Z,"President Trump believes Apple could manufacture iPhones in the U.S., according to Press Secretary Karoline Leavitt

Should Apple manufacture iPhones in the U.S.?",341,195,2557,139,298311
I_find_genius,2025-04-08T23:09:31.000Z,They will sell more because of a better quality product,13,0,2,0,5619
Splendid_0823,2025-04-08T19:29:17.000Z,@AskPerplexity how can this affect the manufacturing cost comparing to the manufacturing in China? can you make a quick analysis on how this could affect the product pricing?  what could be the increase ratio?,3,0,3,0,10771
_JasonRyan,2025-04-08T19:48:35.000Z,"Obviously, The President doesn't understand the cost of which Apple would have to price these devices to make a proffit.

There would be no more $1k dollar devices talking a minimum of $3,500 and that's being generous...

When you consider the cost of moving facilities, building",15,2,49,4,7504
iMarkLx,2025-04-08T20:05:03.000Z,"As Tim Cook said in an interview, they (Apple) can’t find the same level of consistency with workers here in the U.S. to do with the consistency in assembly, the same way they can in China.

He said you’re lucky if you can find a handful here in factories, whereas China’s",7,4,84,4,7255
_Lew_X,2025-04-08T19:21:31.000Z,They fucking SHOULD,16,0,10,0,3510
abasisgenius,2025-04-08T19:31:25.000Z,"Well for the sake of consumers, YES!",2,0,0,0,2925
LordJamieVShiLL,2025-04-08T20:39:06.000Z,Winning,0,0,0,0,2520
achirinos,2025-04-08T23:51:26.000Z,"A few years ago, Tim Cook said Apple works with China not for cheaper labor, but because of its highly specialized expertise in advanced tooling. China has a large pool of skilled workers, enabling mass production on a scale hard to match with the smaller talent pool in the U.S.",4,0,52,0,1957
Albite_9,2025-04-08T19:22:10.000Z,"High labour costs, plus higher tax rate is a disaster. It can’t be until those things changed.",6,4,211,6,7533
AristizabaMLoly,2025-04-08T22:38:57.000Z,It is America company so must manufacture in America soil.,0,0,0,0,200
theapplehub,2025-04-08T19:20:28.000Z,"President Trump believes Apple could manufacture iPhones in the U.S., according to Press Secretary Karoline Leavitt

Should Apple manufacture iPhones in the U.S.?",341,195,2557,139,298311
I_find_genius,2025-04-08T23:09:31.000Z,They will sell more because of a better quality product,13,0,2,0,5619
Splendid_0823,2025-04-08T19:29:17.000Z,@AskPerplexity how can this affect the manufacturing cost comparing to the manufacturing in China? can you make a quick analysis on how this could affect the product pricing?  what could be the increase ratio?,3,0,3,0,10771
_JasonRyan,2025-04-08T19:48:35.000Z,"Obviously, The President doesn't understand the cost of which Apple would have to price these devices to make a proffit.

There would be no more $1k dollar devices talking a minimum of $3,500 and that's being generous...

When you consider the cost of moving facilities, building",15,2,49,4,7504
iMarkLx,2025-04-08T20:05:03.000Z,"As Tim Cook said in an interview, they (Apple) can’t find the same level of consistency with workers here in the U.S. to do with the consistency in assembly, the same way they can in China.

He said you’re lucky if you can find a handful here in factories, whereas China’s",7,4,84,4,7255
_Lew_X,2025-04-08T19:21:31.000Z,They fucking SHOULD,16,0,10,0,3510
abasisgenius,2025-04-08T19:31:25.000Z,"Well for the sake of consumers, YES!",2,0,0,0,2925
LordJamieVShiLL,2025-04-08T20:39:06.000Z,Winning,0,0,0,0,2520
achirinos,2025-04-08T23:51:26.000Z,"A few years ago, Tim Cook said Apple works with China not for cheaper labor, but because of its highly specialized expertise in advanced tooling. China has a large pool of skilled workers, enabling mass production on a scale hard to match with the smaller talent pool in the U.S.",4,0,52,0,1957
Albite_9,2025-04-08T19:22:10.000Z,"High labour costs, plus higher tax rate is a disaster. It can’t be until those things changed.",6,4,211,6,7533
AristizabaMLoly,2025-04-08T22:38:57.000Z,It is America company so must manufacture in America soil.,0,0,0,0,200
