username,date,text,replies,reposts,likes,bookmarks,views
NintendoAmerica,2025-04-02T13:44:00.000Z,Experience the untold story of the Imprisoning War when Hyrule Warriors: Age of Imprisonment releases exclusively on #NintendoSwitch2 this winter! #NintendoDirect,268,4541,13521,901,821220
blockxs,2025-04-02T13:48:32.000Z,Is Hyrule Warriors worthwhile,8,0,9,0,11391
J_ROOST,2025-04-02T13:46:21.000Z,This…. This. I’m sold bro,0,6,198,3,11337
SpeederLight1,2025-04-02T14:25:57.000Z,LETS GOOOOOOOOOOOOOOOOO,0,0,2,0,2957
AlexerSalcido,2025-04-02T13:46:17.000Z,Just look at Raru erasing mobs,0,0,70,0,7575
TwilighTriforce,2025-04-02T13:46:06.000Z,NaN,0,0,50,0,7735
EiRi_1970,2025-04-02T14:36:39.000Z,NaN,0,0,15,0,4177
NemexyxOfficial,2025-04-02T13:50:27.000Z,warrior nah easy skip,0,0,11,0,5348
mage_leader,2025-04-02T15:16:46.000Z,I miss the days when Zelda announcements excited me.,0,0,8,0,1670
PjVita92,2025-04-02T15:24:35.000Z,This is not the Ocarina of Time remake we wanted Nintendo!,0,0,8,0,985
Irvin_Wright_,2025-04-03T03:07:43.000Z,This still looks 720p,0,0,4,0,584
NicoENVT,2025-04-02T14:26:32.000Z,AYO,0,0,0,0,4568
32DaCrow,2025-04-02T13:47:20.000Z,yall need to make the Hyrule Warriors canon already,0,0,0,0,47
32DaCrow,2025-04-03T05:27:08.000Z,oh so it is canon then awesome so you know this game will be incredible! yes! on the Switch 2 this game will be insane insane!,0,0,0,0,21
Johnathon2015,2025-04-02T13:44:49.000Z,Bro I thought we were done with the iteration of Zelda. Please stop.,5,0,21,0,2990
saltinnee,2025-04-02T13:44:24.000Z,is hyrule warriors any good,24,0,20,0,14285
SuperSonic55555,2025-04-02T14:06:21.000Z,YES IVE BEEN WAITING FOR THIS LETS GOOOO!!!!,0,0,15,0,897
NataliaTokio2,2025-04-02T14:21:20.000Z,"For those of you who wanted to play as Zelda in Tears of The Kingdom while she's back in time, here ya go!",0,0,15,0,1434
fedepaz,2025-04-02T13:45:17.000Z,,0,0,14,0,1363
ChaosDragoness,2025-04-02T13:46:06.000Z,"SO EXCITED!! I love these games, I've been talking with my husband for the last year about a Hyrule Warriors game taking place during the Imprisoning Wars! So happy to see our dream coming true!",0,0,10,0,1190
ShadowKyuu,2025-04-02T13:47:48.000Z,Neta q asko,0,0,9,0,1103
kimirs15,2025-04-02T13:48:30.000Z,I'm getting day one! I loved Age of Calamity! ,0,0,7,0,1390
mifiles_,2025-04-02T14:07:44.000Z,Hyrule warriors is pretty neat but age of calamity ran like poodoo a lot of the time so i hope the switch 2 runs better,0,0,4,0,680
MYNAMElSDRFTWD,2025-04-02T14:14:27.000Z,"age of calamity worked because the champions were interesting. rauru, sonia, and mineru are some of the most boring, least fleshed out characters in zelda history, and the sages don’t even have faces. how are you going to make this not a snoozefest",0,0,6,0,541
laelex286544,2025-04-02T14:02:40.000Z,This is probably going to be another alternate timeline like Age of Calamity. And Master Kohga will probably be in it as well. So count me in.,0,0,5,0,1443
JustmeRclol,2025-04-02T13:44:17.000Z,Nintendo marry me pls,0,0,4,0,1412
AjthreetJ,2025-04-02T14:44:26.000Z,"Kotake, Koume, and Twinrova better be in this game as these stepemothers are important to Ganondorf’s character.",0,0,4,0,267
Wolfg0th,2025-04-02T14:03:34.000Z,One of the biggest joke of the day,0,0,4,0,366
enrikealen,2025-04-02T14:56:40.000Z,Make DLC for TotK instead...,0,0,3,0,98
anthonyouki,2025-04-02T14:25:05.000Z,"I'm hoping this doesn't end up like Age of Calamity where it's some alternate timeline, and stays faithful to what would inevitably lead up to the events of Tears of The Kingdom. But, if I was to make a guess. I'm betting someway, somehow, Link is going to appear in the game.",0,0,3,0,941
