username,date,text,replies,reposts,likes,bookmarks,views
NintendoAmerica,2025-04-03T15:43:41.000Z,"Metroid Prime 4: Beyond Nintendo Switch 2 Edition  Joy-Con 2 mouse controls
 
Day 1 of the Nintendo Treehouse: Live | Nintendo Switch 2 continues: https://ninten.do/6010qS0Gu",379,1417,8962,614,1341811
basedtweetsonly,2025-04-03T15:44:51.000Z,NaN,2,15,708,11,12720
TheLostGlitches,2025-04-03T16:45:02.000Z,So cool to have mouse controls on the Switch 2!,0,0,41,0,7401
CryptoeJammin,2025-04-03T15:44:06.000Z,Who’s playing ?!?,2,0,7,0,5109
BitBullVault,2025-04-03T16:03:18.000Z,This is amazing ,0,0,4,0,5115
Witchypink19,2025-04-03T16:36:10.000Z,,0,0,0,0,2316
BirdKICKerBing,2025-04-03T15:48:27.000Z,Drop the prices you fucks.,6,2,132,0,4727
AEGRO_84,2025-04-03T19:19:54.000Z,"This looks like a PS3 game, Nintendo is shameless!!!",9,6,77,2,2832
max_b003,2025-04-03T15:44:00.000Z,Do I have to pay to watch this?,3,0,77,0,4187
TRIPSTER0,2025-04-03T23:10:40.000Z,"Is this a Gamecube port?
Looks like a Gamecube game",25,6,66,2,7984
ArbiterSkyward,2025-04-03T16:09:33.000Z,Mouse controls look so unintuitive and it looks like more work for less control of your aim.,11,0,73,2,18934
NintendoAmerica,2025-04-03T15:43:41.000Z,"Metroid Prime 4: Beyond Nintendo Switch 2 Edition  Joy-Con 2 mouse controls
 
Day 1 of the Nintendo Treehouse: Live | Nintendo Switch 2 continues: https://ninten.do/6010qS0Gu",379,1417,8962,614,1341811
basedtweetsonly,2025-04-03T15:44:51.000Z,NaN,2,15,708,11,12720
TheLostGlitches,2025-04-03T16:45:02.000Z,So cool to have mouse controls on the Switch 2!,0,0,41,0,7401
CryptoeJammin,2025-04-03T15:44:06.000Z,Who’s playing ?!?,2,0,7,0,5109
BitBullVault,2025-04-03T16:03:18.000Z,This is amazing ,0,0,4,0,5115
Witchypink19,2025-04-03T16:36:10.000Z,,0,0,0,0,2316
BirdKICKerBing,2025-04-03T15:48:27.000Z,Drop the prices you fucks.,6,2,132,0,4727
AEGRO_84,2025-04-03T19:19:54.000Z,"This looks like a PS3 game, Nintendo is shameless!!!",9,6,77,2,2832
max_b003,2025-04-03T15:44:00.000Z,Do I have to pay to watch this?,3,0,77,0,4187
TRIPSTER0,2025-04-03T23:10:40.000Z,"Is this a Gamecube port?
Looks like a Gamecube game",25,6,66,2,7984
ArbiterSkyward,2025-04-03T16:09:33.000Z,Mouse controls look so unintuitive and it looks like more work for less control of your aim.,11,0,73,2,18934
NintendoAmerica,2025-04-03T15:43:41.000Z,"Metroid Prime 4: Beyond Nintendo Switch 2 Edition  Joy-Con 2 mouse controls
 
Day 1 of the Nintendo Treehouse: Live | Nintendo Switch 2 continues: https://ninten.do/6010qS0Gu",379,1417,8962,614,1341811
basedtweetsonly,2025-04-03T15:44:51.000Z,NaN,2,15,708,11,12720
TheLostGlitches,2025-04-03T16:45:02.000Z,So cool to have mouse controls on the Switch 2!,0,0,41,0,7401
CryptoeJammin,2025-04-03T15:44:06.000Z,Who’s playing ?!?,2,0,7,0,5109
BitBullVault,2025-04-03T16:03:18.000Z,This is amazing ,0,0,4,0,5115
Witchypink19,2025-04-03T16:36:10.000Z,,0,0,0,0,2316
BirdKICKerBing,2025-04-03T15:48:27.000Z,Drop the prices you fucks.,6,2,132,0,4727
AEGRO_84,2025-04-03T19:19:54.000Z,"This looks like a PS3 game, Nintendo is shameless!!!",9,6,77,2,2832
max_b003,2025-04-03T15:44:00.000Z,Do I have to pay to watch this?,3,0,77,0,4187
TRIPSTER0,2025-04-03T23:10:40.000Z,"Is this a Gamecube port?
Looks like a Gamecube game",25,6,66,2,7984
ArbiterSkyward,2025-04-03T16:09:33.000Z,Mouse controls look so unintuitive and it looks like more work for less control of your aim.,11,0,73,2,18934
NintendoAmerica,2025-04-03T15:43:41.000Z,"Metroid Prime 4: Beyond Nintendo Switch 2 Edition  Joy-Con 2 mouse controls
 
Day 1 of the Nintendo Treehouse: Live | Nintendo Switch 2 continues: https://ninten.do/6010qS0Gu",379,1417,8962,614,1341811
basedtweetsonly,2025-04-03T15:44:51.000Z,NaN,2,15,708,11,12720
TheLostGlitches,2025-04-03T16:45:02.000Z,So cool to have mouse controls on the Switch 2!,0,0,41,0,7401
CryptoeJammin,2025-04-03T15:44:06.000Z,Who’s playing ?!?,2,0,7,0,5109
BitBullVault,2025-04-03T16:03:18.000Z,This is amazing ,0,0,4,0,5115
Witchypink19,2025-04-03T16:36:10.000Z,,0,0,0,0,2316
BirdKICKerBing,2025-04-03T15:48:27.000Z,Drop the prices you fucks.,6,2,132,0,4727
AEGRO_84,2025-04-03T19:19:54.000Z,"This looks like a PS3 game, Nintendo is shameless!!!",9,6,77,2,2832
max_b003,2025-04-03T15:44:00.000Z,Do I have to pay to watch this?,3,0,77,0,4187
TRIPSTER0,2025-04-03T23:10:40.000Z,"Is this a Gamecube port?
Looks like a Gamecube game",25,6,66,2,7984
ArbiterSkyward,2025-04-03T16:09:33.000Z,Mouse controls look so unintuitive and it looks like more work for less control of your aim.,11,0,73,2,18934
