username,date,text,replies,reposts,likes,bookmarks,views
theapplehub,2025-03-10T16:37:41.000Z,It's going to be a big year for the iPhone ,333,321,5598,295,462987
Vismaya9999,2025-03-10T16:56:08.000Z,NaN,2,2,28,10,11268
SelfieDog_SOL,2025-03-10T16:40:02.000Z,"It's time to take the best selfies, paws ready",0,0,4,2,2741
EmerieOnoh,2025-03-10T20:26:17.000Z,L design,0,0,0,0,1234
_Lew_X,2025-03-10T17:06:20.000Z,This is horrifically disgusting.,0,0,192,0,7286
zneebus,2025-03-10T18:18:35.000Z,Why? Will they finally deliver on the promises of last year?,0,0,75,0,10342
iHateApplee,2025-03-10T18:15:59.000Z,Now this is copium,3,0,51,0,8071
ChaosMoogle,2025-03-10T17:34:36.000Z,They better have great cases cause the phone itself is ugly,0,0,45,0,5393
black0nder,2025-03-10T16:51:02.000Z,"Like every year, just change the chip and release it like every year , yayyyy",0,0,44,0,5254
JadePalace1976,2025-03-10T17:15:46.000Z,"Copying Google pixels work,no creativity whatsoever(shame)",2,0,23,4,7724
AndreaDeMarchi,2025-03-10T19:19:39.000Z,Horrible,0,0,11,0,1626
ElMaloDelCuento,2025-03-10T17:40:12.000Z,Hold my beer…,0,0,9,0,3572
GallagherSwan,2025-03-10T23:44:24.000Z,"I don’t like the design at all, but I also don’t think they would do this..",0,0,6,0,675
tslecomte,2025-03-10T18:27:00.000Z,"I am really still not sure about this design, I hold out hope it‘s not true.

I will say the “new camera bump” is starting to grow on me though. ",0,0,5,0,6405
carlospapafox,2025-03-10T19:57:18.000Z,"No, it’s not",0,0,5,0,705
friendly_fin,2025-03-10T16:45:32.000Z,is it really though?,0,0,4,0,4353
MarkyBluntz,2025-03-10T20:24:44.000Z,Still got my 13 PM and been waiting on a big design change. This may be the year I finally upgrade.,0,0,4,0,1782
digitaldashtv,2025-03-10T19:20:03.000Z,Apple already dropped the best iPhone of 2025,2,0,3,0,4346
travisjshaw,2025-03-10T16:39:18.000Z,How is this different? Looks like my 13 pro,0,0,3,0,1280
jimscard,2025-03-11T02:09:31.000Z,"If shadows in flash pictures and inaccurate LIDAR measurements are your thing, sure.",0,0,2,0,1387
dataslag,2025-03-10T23:47:25.000Z,Let me know when Apple Intelligence can do more than generate shitty emoji,0,0,2,0,269
GambitMentality,2025-03-12T05:09:30.000Z, i’ll keep my iPhone 15 Pro Max and just go buy a case that has extra plastic on the back for $35 and get the same effect. Great job @Apple,0,0,2,0,754
GTrottaJr,2025-03-10T18:30:13.000Z,This would give my OCD a run lol more symmetrical please!,0,0,2,0,566
GreenGlencoe,2025-03-10T19:56:31.000Z,If they can make a phone that doesn’t rock when is on a flat surface that would be a breakthrough.,0,0,2,0,637
spacexac,2025-03-10T17:49:53.000Z,lol,0,0,2,0,870
NeonBear007,2025-03-10T21:32:12.000Z,Yeah I’m skipping this model.,0,0,2,0,518
mtgproductionss,2025-03-10T16:45:59.000Z,I can’t wait!!,0,0,0,0,4670
MandinoTan,2025-03-11T22:21:10.000Z,Johny Ive era is gone,0,0,0,0,342
J_4_Y_3,2025-03-10T16:51:13.000Z,Are they getting smaller?,0,0,0,0,4577
vmatwejski,2025-03-10T21:21:52.000Z,No it won't.,0,0,0,0,393
EddiebroRon,2025-03-11T04:40:47.000Z,"God, damn that looks ugly",0,0,0,0,488
ApplesUpdate,2025-03-10T17:22:14.000Z,And we are waiting for him,0,0,0,0,4345
naaperusai,2025-03-11T02:48:38.000Z,It won't if it looks exactly like that,0,0,0,0,475
DylanBrassel,2025-03-10T17:40:18.000Z,How exactly?,0,0,0,0,1103
ujjwalthakur_,2025-03-10T20:58:11.000Z,expectations are very high thus time for iPhone and for the iOS 19 as well,0,0,0,0,1557
ChaosMoogle,2025-03-10T17:34:07.000Z,NaN,0,0,0,0,2963
sudeepchivukula,2025-03-11T09:56:06.000Z,worst design ,0,0,0,0,93
timleegriffith,2025-03-10T19:20:16.000Z,Why? It’s just another hump under the other hump. ,0,0,0,0,230
DyingDiavel,2025-03-10T18:36:54.000Z,Copying the pixel,0,0,0,0,28
cuzwedripasf,2025-03-10T20:48:40.000Z,bok gibi,0,0,0,0,9
Albu_Studio,2025-03-11T01:58:27.000Z,I see space for 2 more cameras ,0,0,0,0,304
RajanSathya24,2025-03-11T05:49:40.000Z,Every year people say the same thing,0,0,0,0,213
J13_13F,2025-03-11T04:58:18.000Z,Make it a flIPIphone,0,0,0,0,285
megamacstore,2025-03-11T15:19:04.000Z,This is messing with my trypophobia…,0,0,0,0,89
Piobox,2025-03-10T19:59:49.000Z,-Ai,0,0,0,0,628
brettdoesstocks,2025-03-11T01:02:37.000Z,"It is going to be the same year for the Iphone it has been every year since the iPhone 4. Every year is the biggest year for iPhone, right?! Why don't you make the biggest YOY model change?",0,0,0,0,133
LinoDaCake,2025-03-10T18:27:04.000Z,"No it won’t. The days of juicing the consumer by making an almost identical phone and slapping a new number on it are over. Until they release something truly new and innovative, sales will continue to drop.",0,0,0,0,262
YoGunDaddy,2025-03-11T14:12:18.000Z,Yeah right. Zzzzzzzzzz.,0,0,0,0,147
CryptoWorldX9,2025-03-11T09:55:30.000Z,"Apple gets worse and worse, Iphone gets uglier and uglier. Steve Jobs is rolling over in his grave.",0,0,0,0,8
pmca80,2025-03-10T19:06:12.000Z,"Why? They still haven’t delivered on their promises from last year. They sold phones on the premise of AI and still haven’t fully implemented because it seems they can’t. 
And I’m writing this on my IPhone 16. I was a fanboy but I know this is my last iPhone",0,0,0,0,272
J189912,2025-03-10T17:55:28.000Z,Looks disgusting,0,0,0,0,71
Gonzeeeeeee,2025-03-10T17:21:27.000Z,How?,0,0,0,0,206
danielbitar,2025-03-10T21:09:16.000Z,Wow they moved the Lidar sensor and flash and extended the camera block  big year for iPhone ,0,0,0,0,90
Semite2024,2025-03-10T20:09:07.000Z,"Bullshit, Apple is doomed and Apple Intelligence is shit",0,0,0,0,16
Faveriiteboy,2025-03-10T21:21:03.000Z,At this point “REST” ,0,0,0,0,128
mrbetomann,2025-03-11T01:13:30.000Z,They will make the square bigger... so innovative,0,0,0,0,30
ftznamu,2025-03-11T07:40:37.000Z,holding this new phone with its new OS will feel like an entirely different brand lmao,0,0,0,0,23
shyboriqua,2025-03-11T02:11:46.000Z,This looks ugly aff,0,0,0,0,10
teresabs15,2025-03-10T17:37:27.000Z,Terrible displaying,0,0,0,0,93
vikingog,2025-03-11T02:11:00.000Z,Poner el sensor y el flash lejos de las cámaras es una estupidez tan grande que cualquiera que haya estudiado paralaje en el colegio se da cuenta que es absurdo.,0,0,0,0,11
David79YT,2025-03-11T01:49:59.000Z,"I hate it, so ugly",0,0,0,0,28
heavymetalcorg1,2025-03-11T09:04:58.000Z,I doubt it.,0,0,0,0,2
onrebruit,2025-03-10T20:10:16.000Z,"Please, Apple shouldn't consider this design. It's awful ",0,0,0,0,70
jorgeaq_17,2025-03-10T18:47:14.000Z,Ugly as f,0,0,0,0,11
MrsGbda,2025-03-10T23:17:55.000Z,I won’t update until I see a fold! ,0,0,0,0,22
Bighen66,2025-03-10T21:40:42.000Z,What the space for smh,0,0,0,0,24
Kylereine,2025-03-11T13:42:00.000Z,This looks disgusting tbh,0,0,0,0,0
nickvog,2025-03-10T19:23:49.000Z,Not with this look. No. ,0,0,0,0,109
MegaMarian12350,2025-03-10T21:50:27.000Z,NaN,0,0,0,0,24
DenisMarciniak,2025-03-10T18:19:09.000Z,why?,0,0,0,0,123
massatofo,2025-03-10T18:53:12.000Z,"Let's hope they compensate on the hardware side, what they can't develop on the software side.",0,0,0,0,63
_TypicalGinger_,2025-03-11T14:30:35.000Z,"That looks awful, at that point they might as well just keep the current design",0,0,0,0,9
CiprianAdrian21,2025-03-11T08:12:55.000Z,"It will probably have the same main sensor from the iphone 14 pro , same ultrawide from the 16 pro and a barely larger telephoto sensor . ",0,0,0,0,81
Alenitchev6,2025-03-11T06:45:27.000Z,Lol big year. It's basically the same shit since iPhone 12. Give me fast 80W charging and now we're talking.,0,0,0,0,112
aayuserious,2025-03-11T06:37:57.000Z,I think we all are fine with older design,0,0,0,0,21
ceoofacerbutnot,2025-03-10T20:37:50.000Z,This is simply awful,0,0,0,0,40
MagdalenaBrock,2025-03-11T09:55:42.000Z,I still can’t get over this awful design ,0,0,0,0,32
modlovestech,2025-03-11T02:12:47.000Z,Looks like it!,0,0,0,0,3
emir_Xly,2025-03-11T08:26:43.000Z,Doesnt look convicing to me! ,0,0,0,0,8
JDaveBC,2025-03-11T11:20:02.000Z,I hope this’ll look better irl thn the renders….,0,0,0,0,17
n4nasar,2025-03-10T22:53:01.000Z,Its going to Be sh!t as 16 ,0,0,0,0,30
nemanjap_21,2025-03-11T09:59:39.000Z,Camera bump looks naked when color is matched with rest of body of the phone. Better to be black,0,0,0,0,35
kigababy,2025-03-10T19:29:18.000Z,Nonsense,0,0,0,0,46
Macmatician,2025-03-10T20:59:36.000Z,Now that they’ve brought back focus,0,0,0,0,43
MIAHEDJUTO,2025-03-11T17:08:38.000Z,Just throw the whole device away. Trash innovation and trash IOS updates that ruins devices,0,0,0,0,8
Tech_Marcell,2025-03-10T16:58:15.000Z,,0,0,0,0,192
outerspace5150,2025-03-10T18:54:44.000Z,No it’s not. Don’t lie. Don’t do that,0,0,0,0,48
BulgaraJerry,2025-03-11T03:16:09.000Z,,0,0,0,0,47
Shark_VVar,2025-03-10T18:33:33.000Z,"I hope it's really a great year for him, because it's complicated ..",0,0,0,0,49
kPallikkara,2025-03-11T01:23:08.000Z,"I’d suggest you pin this tweet for the next several years—since there’s not much innovation in iPhones anyway, at least you’ll save yourself the trouble of posting it every year!",0,0,0,0,19
cmc_almeida32,2025-03-10T21:21:11.000Z,Finally 240hz on every iPhone for compensate this last years xD,0,0,0,0,33
sagardgoswami,2025-03-10T20:11:42.000Z,"I am actually sick of the Pro Max now.

- Its heavy, and bulky
- the additional cameras aren’t that big of a deal (the difference isn’t noticeable, if you tend to look more closely, you’d just use a proper camera instead)

Only downside to me are
- Magsafe
- High Refresh Rate",0,0,0,0,53
Arashx86,2025-03-11T01:36:14.000Z,"I really hope it's not true, I am currently an Android user and I am waiting for the release of the iPhone 17 Pro Max !    This is just my opinion but if I see Google Pixel design or this horrible one I will keep using Android, -1 lost customer",0,0,0,0,497
Okeowok7Sean,2025-03-14T20:15:50.000Z,Brr that looks like #realmenote50 ,0,0,0,0,14
aayuserious,2025-03-11T06:37:57.000Z,I think we all are fine with older design,0,0,0,0,21
ceoofacerbutnot,2025-03-10T20:37:50.000Z,This is simply awful,0,0,0,0,40
MagdalenaBrock,2025-03-11T09:55:42.000Z,I still can’t get over this awful design ,0,0,0,0,32
modlovestech,2025-03-11T02:12:47.000Z,Looks like it!,0,0,0,0,3
emir_Xly,2025-03-11T08:26:43.000Z,Doesnt look convicing to me! ,0,0,0,0,8
JDaveBC,2025-03-11T11:20:02.000Z,I hope this’ll look better irl thn the renders….,0,0,0,0,17
n4nasar,2025-03-10T22:53:01.000Z,Its going to Be sh!t as 16 ,0,0,0,0,30
nemanjap_21,2025-03-11T09:59:39.000Z,Camera bump looks naked when color is matched with rest of body of the phone. Better to be black,0,0,0,0,35
kigababy,2025-03-10T19:29:18.000Z,Nonsense,0,0,0,0,46
Macmatician,2025-03-10T20:59:36.000Z,Now that they’ve brought back focus,0,0,0,0,43
MIAHEDJUTO,2025-03-11T17:08:38.000Z,Just throw the whole device away. Trash innovation and trash IOS updates that ruins devices,0,0,0,0,8
Tech_Marcell,2025-03-10T16:58:15.000Z,,0,0,0,0,192
outerspace5150,2025-03-10T18:54:44.000Z,No it’s not. Don’t lie. Don’t do that,0,0,0,0,48
BulgaraJerry,2025-03-11T03:16:09.000Z,,0,0,0,0,47
Shark_VVar,2025-03-10T18:33:33.000Z,"I hope it's really a great year for him, because it's complicated ..",0,0,0,0,49
kPallikkara,2025-03-11T01:23:08.000Z,"I’d suggest you pin this tweet for the next several years—since there’s not much innovation in iPhones anyway, at least you’ll save yourself the trouble of posting it every year!",0,0,0,0,19
cmc_almeida32,2025-03-10T21:21:11.000Z,Finally 240hz on every iPhone for compensate this last years xD,0,0,0,0,33
sagardgoswami,2025-03-10T20:11:42.000Z,"I am actually sick of the Pro Max now.

- Its heavy, and bulky
- the additional cameras aren’t that big of a deal (the difference isn’t noticeable, if you tend to look more closely, you’d just use a proper camera instead)

Only downside to me are
- Magsafe
- High Refresh Rate",0,0,0,0,53
Arashx86,2025-03-11T01:36:14.000Z,"I really hope it's not true, I am currently an Android user and I am waiting for the release of the iPhone 17 Pro Max !    This is just my opinion but if I see Google Pixel design or this horrible one I will keep using Android, -1 lost customer",0,0,0,0,497
Okeowok7Sean,2025-03-14T20:15:50.000Z,Brr that looks like #realmenote50 ,0,0,0,0,14
KeithPamz,2025-03-11T06:03:07.000Z,That design is ugly,0,0,0,0,12
hopebhengu1,2025-03-12T07:54:05.000Z,"What are they thinking though? It's looks quirky but I'm keen on seeing the overall outcome, let hope they don't decide to pull out.",0,0,0,0,24
boris_dg,2025-03-10T19:17:20.000Z,This looks horrid.,0,0,0,0,21
iliketurtlesqu,2025-03-10T18:41:48.000Z,No it’s not just another non innovative phone,0,0,0,0,13
dineshraj_mohan,2025-03-11T22:28:06.000Z,The absence of the glass panel on the camera tray is disturbing,0,0,0,0,12
lillegendd,2025-03-10T19:19:30.000Z,This cam bar looks so bad lol,0,0,0,0,65
vimal_ravndrn,2025-03-10T23:16:24.000Z,Big year for apple! Feature announced for iphone 16 releases with iphone 17. Largescale beta,0,0,0,0,97
SinisterAudio,2025-03-10T19:19:22.000Z,We say that every year,0,0,0,0,76
d2ntsx,2025-03-11T03:31:01.000Z,hell no,0,0,0,0,26
LadiRavenfan,2025-03-11T21:02:49.000Z,Says who and why,0,0,0,0,4
NickVeale3,2025-03-10T22:16:37.000Z,Yawn,0,0,0,0,71
AkintundeJamal,2025-03-12T23:59:22.000Z,My wife iPhone 15 pro max I cloud is inactive . She’s unable to download apps to her phone. What can she do @theapplehub,0,0,0,0,15
GerlanMene89444,2025-03-11T10:05:48.000Z,Acho pouco provável,0,0,0,0,17
Totallytrippin8,2025-03-10T19:54:47.000Z,this looks kinda nice,0,0,0,0,44
JT___30,2025-03-10T20:07:54.000Z,How? A different shape camera bump…,0,0,0,0,10
mahahmad_s68922,2025-03-11T19:39:15.000Z,ขอบคุณครับ,0,0,0,0,2
JordanWill6385,2025-03-11T03:35:39.000Z,"(I thought iPhone 16 pro max was big but it’s just not quiet there for me ) the phone gets very easily too warm and for the phone case are not designed for any ) 
(And for iOS update can I request when you charge your phone you can see how long your phone got to charge ?)",0,0,0,0,27
Akashxtra1,2025-03-11T02:33:46.000Z,Ugly as hell ,0,0,0,0,5
Brusewa01661333,2025-03-10T17:42:20.000Z,It’s just an upgraded cpu of the 16,0,0,0,0,7
thegoodfran,2025-03-10T19:55:53.000Z,"pobre perra, primero q saquen la apple intelligence en todos los idiomas y luego ladras",0,0,0,0,21
totalico,2025-03-10T23:20:50.000Z,"well, is a little bit o’ cess (imo)",0,0,0,0,15
prollysame,2025-03-10T23:25:31.000Z,"They should leave the flashlight where it was usually, the LiDAR scanner can go to the right ",0,0,0,0,64
benluca_,2025-03-10T19:12:43.000Z,The biggest camera bump on planet earth...,0,0,0,0,47
onlyoneg10,2025-03-10T22:27:17.000Z,ugly,0,0,0,0,9
CarlosSantosGB,2025-03-10T21:37:58.000Z,,0,0,0,0,90
Darkfeedx,2025-03-10T19:31:06.000Z,Yuck,0,0,0,0,29
moi_py,2025-03-10T18:34:58.000Z,really hoping it doesnt look like that ,0,0,0,0,77
jackson_latoya,2025-03-10T19:00:04.000Z,This is ugly,0,0,0,0,17
Osinjo,2025-03-11T05:11:58.000Z,"Wow, looks terrible",0,0,0,0,18
iliketurtlesqu,2025-03-10T18:41:48.000Z,No it’s not just another non innovative phone,0,0,0,0,13
dineshraj_mohan,2025-03-11T22:28:06.000Z,The absence of the glass panel on the camera tray is disturbing,0,0,0,0,12
lillegendd,2025-03-10T19:19:30.000Z,This cam bar looks so bad lol,0,0,0,0,65
vimal_ravndrn,2025-03-10T23:16:24.000Z,Big year for apple! Feature announced for iphone 16 releases with iphone 17. Largescale beta,0,0,0,0,97
SinisterAudio,2025-03-10T19:19:22.000Z,We say that every year,0,0,0,0,76
d2ntsx,2025-03-11T03:31:01.000Z,hell no,0,0,0,0,26
LadiRavenfan,2025-03-11T21:02:49.000Z,Says who and why,0,0,0,0,4
NickVeale3,2025-03-10T22:16:37.000Z,Yawn,0,0,0,0,71
AkintundeJamal,2025-03-12T23:59:22.000Z,My wife iPhone 15 pro max I cloud is inactive . She’s unable to download apps to her phone. What can she do @theapplehub,0,0,0,0,15
GerlanMene89444,2025-03-11T10:05:48.000Z,Acho pouco provável,0,0,0,0,17
Totallytrippin8,2025-03-10T19:54:47.000Z,this looks kinda nice,0,0,0,0,44
JT___30,2025-03-10T20:07:54.000Z,How? A different shape camera bump…,0,0,0,0,10
