username,date,text,replies,reposts,likes,bookmarks,views
NintendoAmerica,2025-04-02T13:45:22.000Z,"Classic Nintendo GameCube games are coming exclusively to #NintendoSwitch2 for Nintendo Switch Online + Expansion Pack members! #NintendoDirect 

►The Legend of Zelda: The Wind Waker 
►SOULCALIBUR II 
►F-Zero GX",1112,8356,31304,1874,2372444
chrissyxchi,2025-04-02T13:49:14.000Z,PLEASE PLEASE PLEASE PLEASE,9,19,573,8,21799
AllieRX,2025-04-02T14:18:19.000Z,That means these games are coming very soon. ,25,34,540,22,19577
discord,2025-04-02T15:56:40.000Z,hearing the gamecube intro in 2025 just hits different,8,15,356,8,24761
TerravonRiegan,2025-04-02T14:28:03.000Z,,12,18,481,8,21768
basedtweetsonly,2025-04-02T13:45:53.000Z,You should've ported Wind Waker HD instead you clowns,19,3,353,2,14295
SirYacht_,2025-04-02T13:50:02.000Z,LET'S GO! DO SUPER MARIO SUNSHINE NEXT PLEASE,7,2,84,0,25075
MythicTalent,2025-04-02T16:35:40.000Z,YEEEEEEEEEEEEEESSSSSSSSSSSSS!,0,0,28,0,2664
chrissyxchi,2025-04-02T13:49:14.000Z,PLEASE PLEASE PLEASE PLEASE,9,19,573,8,21799
AllieRX,2025-04-02T14:18:19.000Z,That means these games are coming very soon. ,25,34,540,22,19577
discord,2025-04-02T15:56:40.000Z,hearing the gamecube intro in 2025 just hits different,8,15,356,8,24761
TerravonRiegan,2025-04-02T14:28:03.000Z,,12,18,481,8,21768
basedtweetsonly,2025-04-02T13:45:53.000Z,You should've ported Wind Waker HD instead you clowns,19,3,353,2,14295
SirYacht_,2025-04-02T13:50:02.000Z,LET'S GO! DO SUPER MARIO SUNSHINE NEXT PLEASE,7,2,84,0,25075
MythicTalent,2025-04-02T16:35:40.000Z,YEEEEEEEEEEEEEESSSSSSSSSSSSS!,0,0,28,0,2664
DenjinK,2025-04-02T13:55:59.000Z,A new F-ZERO game would be nice ,4,0,24,0,6031
heyzuestv,2025-04-02T14:05:49.000Z,Super smash bros melee?,2,0,20,0,7735
DreamLeaf5,2025-04-02T23:54:05.000Z,Where’s wind waker HD? It made a lot of improvements that makes the original hard to go back to.,5,0,13,0,2528
Clips_ETH,2025-04-02T14:00:13.000Z,"Whoa, those GameCube gems hitting Switch? Gotta dust off, no lie. But wheres Super Smash Bros. Melee at, eh?  You vibe?",4,0,9,0,20326
ChrisCoffeeEth,2025-04-02T17:03:45.000Z,"Gotta fire whoever is running this account for using those titles for this post when Pokémon Coliseum, Super Mario Sunshine, and Luigis Mansion are all included in this.",0,0,6,0,3132
YorchTorchGames,2025-04-02T13:46:51.000Z,"Nintendo, YOU WON.

Just add Super Smas Bros. Melee, Star Wars Rogue Squadron 2, and Eternal Darkness.",18,9,190,0,15220
Sharp_Side_,2025-04-02T14:10:44.000Z,I saw Pokémon XD and Colosseum and immediately knew that this was a huge W,2,4,195,2,13794
_ShaniceBest,2025-04-02T17:05:34.000Z,I bought nintendos this morning. Thank you,0,0,0,0,2090
katiepeace05,2025-04-02T18:01:46.000Z,,0,0,0,0,747
UnTino,2025-04-02T19:51:21.000Z,This is amazing!!!,0,0,0,0,643
SpeederLight1,2025-04-03T20:14:53.000Z,LETS GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,0,0,0,224
theeebambi2,2025-04-02T14:17:57.000Z,i may be the only person who wants this but pls oh and ssx 3 pls ty,18,2,185,4,12326
RlMightyDuck,2025-04-02T16:57:01.000Z,All I want is this,2,8,107,0,5823
DreamLeaf5,2025-04-02T23:54:05.000Z,Where’s wind waker HD? It made a lot of improvements that makes the original hard to go back to.,5,0,13,0,2528
Clips_ETH,2025-04-02T14:00:13.000Z,"Whoa, those GameCube gems hitting Switch? Gotta dust off, no lie. But wheres Super Smash Bros. Melee at, eh?  You vibe?",4,0,9,0,20326
