username,date,text,replies,reposts,likes,bookmarks,views
NintendoAmerica,2025-04-01T13:00:02.000Z,"Join us tomorrow, April 2nd, at 6 a.m. PT for a closer look at #NintendoSwitch2! The #NintendoDirect: Nintendo Switch 2 – 4.2.2025 livestream will be approximately 60 minutes long.

Watch it here: https://youtube.com/live/DXUmjX7DsP8…",1428,16309,55003,4141,12866057
IntroSpecktive,2025-04-01T13:05:13.000Z,An hour???? Boys we are FEASTING,9,34,2415,15,73536
ConnorEatsPants,2025-04-01T18:23:26.000Z,my life has been so boring without your products. I will awake before the sun rises just for this. For Miyamoto.,9,34,1950,12,45413
OoCPokemon,2025-04-01T13:16:55.000Z,Will be watching,0,15,1013,35,76232
Domtendo,2025-04-01T13:03:10.000Z,My Body is ready,10,10,908,6,65324
SoulReaper8610,2025-04-01T13:12:46.000Z,,18,40,810,25,66718
WalmartCAGaming,2025-04-01T13:15:50.000Z,NaN,6,11,552,8,38167
SoftPlatypus23,2025-04-01T13:35:19.000Z,I really wish Etika was here to see this moment. I know he would have enjoyed this moment. Joy-Con Boyz Forever.,20,28,614,22,17860
GermanStrands,2025-04-01T13:13:13.000Z,Silksong will be there.,35,8,341,12,45627
SoulReaper8610,2025-04-01T13:12:46.000Z,,18,40,810,25,66718
WalmartCAGaming,2025-04-01T13:15:50.000Z,NaN,6,11,552,8,38167
SoftPlatypus23,2025-04-01T13:35:19.000Z,I really wish Etika was here to see this moment. I know he would have enjoyed this moment. Joy-Con Boyz Forever.,20,28,614,22,17860
GermanStrands,2025-04-01T13:13:13.000Z,Silksong will be there.,35,8,341,12,45627
ChizPlays,2025-04-01T13:04:31.000Z,,4,0,160,5,11958
SpeederLight1,2025-04-01T18:18:27.000Z,"I AM SO HYPED FOR THIS BEYOND BELIEF! IM SO HYPED FOR THE NEW 3D MARIO GAME, NEW REMASTERS, LUIGI MANSION 4, DONKEY KONG, KIRBY, AND ZELDA! I'm not sure if we will get anything zelda since we just got a game 2 years ago  BUT ANYWAYS IM HOPING TO SEE THESE GAMES IN HERE! I ALSO",6,0,15,2,6280
playspine,2025-04-02T12:40:47.000Z,,0,0,15,0,1516
YunalesckaGames,2025-04-02T05:15:24.000Z,Can’t wait!!!! ,0,0,15,0,6769
_ShaniceBest,2025-04-02T00:35:41.000Z,Lfg,0,0,0,0,7183
ShadowzPaine,2025-04-01T13:00:27.000Z,On everyone’s soul we will be getting a new fire emblem game,24,0,123,2,34505
LukePS7013,2025-04-01T13:00:50.000Z,"So what do we all think the “One Last Thing” of this Direct will be?

I’m guessing Smash 6. Sakurai’s next game has been in development for a while, as of this month it’ll be in development for as long as Ultimate was. Releasing later this year doesn’t seem too far-fetched imo",27,5,64,9,25996
tristinflore,2025-04-01T23:21:18.000Z,So close yet feels so far away,0,0,61,3,4211
sideoforange,2025-04-01T14:52:44.000Z,"Game predictions/hopes for tomorrow and beyond:

- Final Fantasy VII Remake
- Kirby Air Ride (sequel/remake)
- New Super Mario 3D game 
- Legend of Zelda TP+WW ports
- Pokémon Colosseum
- Pokémon Mystery Dungeon
- Enhanced versions of Switch titles
- GameCube via Switch Online
-",23,0,55,8,25725
basedtweetsonly,2025-04-01T13:00:45.000Z,Why is Nintendo already releasing a new console when Switch just released a few years ago?,55,4,39,2,15036
VistaLargaGames,2025-04-02T02:02:34.000Z,NaN,0,2,37,7,8527
TheBrokeMessiah,2025-04-01T15:44:49.000Z,One thing I love about Nintendo over Microsoft and Sony is they actually show you gameplay and never CGI trailers.,6,0,15,0,5946
playspine,2025-04-02T12:40:47.000Z,,0,0,15,0,1516
YunalesckaGames,2025-04-02T05:15:24.000Z,Can’t wait!!!! ,0,0,15,0,6769
_ShaniceBest,2025-04-02T00:35:41.000Z,Lfg,0,0,0,0,7183
ShadowzPaine,2025-04-01T13:00:27.000Z,On everyone’s soul we will be getting a new fire emblem game,24,0,123,2,34505
LukePS7013,2025-04-01T13:00:50.000Z,"So what do we all think the “One Last Thing” of this Direct will be?

I’m guessing Smash 6. Sakurai’s next game has been in development for a while, as of this month it’ll be in development for as long as Ultimate was. Releasing later this year doesn’t seem too far-fetched imo",27,5,64,9,25996
tristinflore,2025-04-01T23:21:18.000Z,So close yet feels so far away,0,0,61,3,4211
sideoforange,2025-04-01T14:52:44.000Z,"Game predictions/hopes for tomorrow and beyond:

- Final Fantasy VII Remake
- Kirby Air Ride (sequel/remake)
- New Super Mario 3D game 
- Legend of Zelda TP+WW ports
- Pokémon Colosseum
- Pokémon Mystery Dungeon
- Enhanced versions of Switch titles
- GameCube via Switch Online
-",23,0,55,8,25725
basedtweetsonly,2025-04-01T13:00:45.000Z,Why is Nintendo already releasing a new console when Switch just released a few years ago?,55,4,39,2,15036
VistaLargaGames,2025-04-02T02:02:34.000Z,NaN,0,2,37,7,8527
TheBrokeMessiah,2025-04-01T15:44:49.000Z,One thing I love about Nintendo over Microsoft and Sony is they actually show you gameplay and never CGI trailers.,6,0,15,0,5946
Itsonemore23,2025-04-01T13:00:32.000Z,Final Fantasy 9 remake for Switch 2 would be crazy.,3,0,11,0,6013
Thecoolguy56634,2025-04-01T14:43:44.000Z,Man 60 minutes to no surprises yall suck. I was expecting at least 120 minutes lol.,15,0,13,2,9370
realpabgames,2025-04-01T13:05:33.000Z,What are your price predictions?,82,0,10,0,66530
Grumpyface,2025-04-01T14:36:16.000Z,Wahoo!!!,0,0,6,0,5421
GreatStoryCorey,2025-04-01T15:00:02.000Z,60 minutes to reveal the Switch 2. They must be planning on revealing something else too right?,0,0,5,0,5369
USANivek,2025-04-01T21:04:11.000Z,Super Mario Galaxy 1 & 2 remaster would be nuts.,0,0,4,0,3986
Wiikstrom,2025-04-01T14:09:09.000Z,I’m guessing $450,6,0,4,0,41097
TetesaLirosa,2025-04-01T21:06:41.000Z,1 hour.,0,0,3,0,1289
OmegaVoltArt,2025-04-01T20:52:57.000Z,Last week’s direct was the appetiser. Here comes the main course!,0,0,0,0,105
Alsolmi_Z_3000,2025-04-01T22:29:09.000Z,NaN,0,0,0,0,919
purifiedst0rm,2025-04-01T22:08:00.000Z,NaN,0,0,0,0,598
PuddleToTheMax,2025-04-02T00:18:24.000Z,Final Fantasy 9 remake please,0,0,0,0,1200
swindlesquad,2025-04-02T01:18:46.000Z,This is gonna be yuuuuuuuge,0,0,0,0,544
Kua1sude,2025-04-02T04:52:01.000Z,Yall better be bringing channels back,0,0,0,0,631
songyao888,2025-04-02T05:15:43.000Z,"I am in China, how do I get it?",0,0,0,0,2
DXBNIN,2025-04-02T06:27:23.000Z,My body is @Reggie,0,0,0,0,576
youjeezta,2025-04-02T08:17:55.000Z,phantom hourglass 2,0,0,0,0,43
remino,2025-04-02T09:23:02.000Z,Forget Switch 2 already. Come on Switch 3!,0,0,0,0,617
ZodiacThundaga,2025-04-02T14:40:23.000Z,I see I didn't miss much.,0,0,0,0,143
TheOmegaPaladin,2025-04-02T14:45:54.000Z,Got some Good Stuff in Here my Dudes.,0,0,0,0,180
GreatStoryCorey,2025-04-01T15:00:02.000Z,60 minutes to reveal the Switch 2. They must be planning on revealing something else too right?,0,0,5,0,5369
USANivek,2025-04-01T21:04:11.000Z,Super Mario Galaxy 1 & 2 remaster would be nuts.,0,0,4,0,3986
Wiikstrom,2025-04-01T14:09:09.000Z,I’m guessing $450,6,0,4,0,41097
TetesaLirosa,2025-04-01T21:06:41.000Z,1 hour.,0,0,3,0,1289
OmegaVoltArt,2025-04-01T20:52:57.000Z,Last week’s direct was the appetiser. Here comes the main course!,0,0,0,0,105
Alsolmi_Z_3000,2025-04-01T22:29:09.000Z,NaN,0,0,0,0,919
purifiedst0rm,2025-04-01T22:08:00.000Z,NaN,0,0,0,0,598
PuddleToTheMax,2025-04-02T00:18:24.000Z,Final Fantasy 9 remake please,0,0,0,0,1200
swindlesquad,2025-04-02T01:18:46.000Z,This is gonna be yuuuuuuuge,0,0,0,0,544
Kua1sude,2025-04-02T04:52:01.000Z,Yall better be bringing channels back,0,0,0,0,631
songyao888,2025-04-02T05:15:43.000Z,"I am in China, how do I get it?",0,0,0,0,2
DXBNIN,2025-04-02T06:27:23.000Z,My body is @Reggie,0,0,0,0,576
youjeezta,2025-04-02T08:17:55.000Z,phantom hourglass 2,0,0,0,0,43
remino,2025-04-02T09:23:02.000Z,Forget Switch 2 already. Come on Switch 3!,0,0,0,0,617
ZodiacThundaga,2025-04-02T14:40:23.000Z,I see I didn't miss much.,0,0,0,0,143
TheOmegaPaladin,2025-04-02T14:45:54.000Z,Got some Good Stuff in Here my Dudes.,0,0,0,0,180
KirPinkFury,2025-04-01T13:02:52.000Z,Is this an April's Fool joke?,36,2,70,0,34488
Drtre81,2025-04-01T16:49:05.000Z,NaN,3,0,26,0,3251
Domjiii,2025-04-01T13:06:53.000Z,My ready is body,2,0,18,0,744
LuisAlb05041475,2025-04-01T21:18:09.000Z,Ready for tomorrow!!,0,0,11,0,388
blakely_dinah,2025-04-01T20:53:06.000Z,"I believe I'm the only one who wants this to happen, even though it won't, idgaf
#ARMS2",0,0,6,0,228
TrivialLight,2025-04-01T13:13:38.000Z,"Place your bets, what will Sakurai’s new game be?",3,0,7,0,1608
zanemilotic,2025-04-01T13:02:25.000Z,"Please announce a new Tomodachi life I’ve been waiting for 11 years!!

Also just woke up from a week long coma",3,0,6,0,1839
Luffgod5,2025-04-01T22:04:53.000Z,Deltarune Chapter 3!,0,0,6,0,476
phantomshader,2025-04-02T00:41:06.000Z,ALL I ASK AND I HOPE TO MANIFEST IT I NEED SOMETHING SMASH BROS RELATED OR KID ICARUS RELATED AND MY LIFE IS YOURS,0,0,5,0,201
LuisAlb05041475,2025-04-01T21:18:09.000Z,Ready for tomorrow!!,0,0,11,0,388
blakely_dinah,2025-04-01T20:53:06.000Z,"I believe I'm the only one who wants this to happen, even though it won't, idgaf
#ARMS2",0,0,6,0,228
TrivialLight,2025-04-01T13:13:38.000Z,"Place your bets, what will Sakurai’s new game be?",3,0,7,0,1608
zanemilotic,2025-04-01T13:02:25.000Z,"Please announce a new Tomodachi life I’ve been waiting for 11 years!!

Also just woke up from a week long coma",3,0,6,0,1839
Luffgod5,2025-04-01T22:04:53.000Z,Deltarune Chapter 3!,0,0,6,0,476
phantomshader,2025-04-02T00:41:06.000Z,ALL I ASK AND I HOPE TO MANIFEST IT I NEED SOMETHING SMASH BROS RELATED OR KID ICARUS RELATED AND MY LIFE IS YOURS,0,0,5,0,201
Ayayaya_why,2025-04-02T07:41:17.000Z,BAYONETTA 4 ON SWITCH 2 LET'S MANIFEST,0,0,2,0,91
Super_jillop,2025-04-01T21:07:22.000Z,Have to wake up early tomorrow:(,0,0,0,0,16
jamesperrott1,2025-04-01T13:06:42.000Z,"I expected 45 minutes, an hour is amazing nice 

If it ends with a new smash bros reveal I will die",2,0,3,0,945
SHOKOUSLID,2025-04-01T21:25:28.000Z,please new ghs game please please PLEASE,0,0,3,0,189
ELEM3NTALDRAGON,2025-04-01T21:38:33.000Z,Who Else Gonna Pull An All Nighter?,0,0,3,0,138
JudiJudit1512,2025-04-02T09:00:13.000Z,NaN,0,0,3,0,45
friedcboy,2025-04-02T12:58:03.000Z,@brycequickx @Jawn_Trill,0,0,0,0,72
SuperDuperSaga,2025-04-01T13:02:10.000Z,LETS SEE A NEW SMASH!!!!,0,0,2,0,833
__Shnee__,2025-04-01T20:48:32.000Z,"Smash Ultimate Deluxe 

Nintendo Kart 

Call of Nintendo ops 3

Doom 1800

Wii Games in Nintendo Online

Kingdom Hearts 4

Disney platform fighter

Super Smash Bros Movie

Mario vs the government 

Kirby - jury duty

Pokemon Gen 1 Remake with only new Gen 9 Pokemon

Mortal Kombat",2,0,2,0,667
_orchyd,2025-04-01T21:05:13.000Z,april fools ?,0,0,2,0,187
natemob1,2025-04-01T21:42:23.000Z,can you delay it by an hour for me please  thank you,0,0,2,0,162
SHOKOUSLID,2025-04-01T21:25:28.000Z,please new ghs game please please PLEASE,0,0,3,0,189
ELEM3NTALDRAGON,2025-04-01T21:38:33.000Z,Who Else Gonna Pull An All Nighter?,0,0,3,0,138
JudiJudit1512,2025-04-02T09:00:13.000Z,NaN,0,0,3,0,45
friedcboy,2025-04-02T12:58:03.000Z,@brycequickx @Jawn_Trill,0,0,0,0,72
SuperDuperSaga,2025-04-01T13:02:10.000Z,LETS SEE A NEW SMASH!!!!,0,0,2,0,833
__Shnee__,2025-04-01T20:48:32.000Z,"Smash Ultimate Deluxe 

Nintendo Kart 

Call of Nintendo ops 3

Doom 1800

Wii Games in Nintendo Online

Kingdom Hearts 4

Disney platform fighter

Super Smash Bros Movie

Mario vs the government 

Kirby - jury duty

Pokemon Gen 1 Remake with only new Gen 9 Pokemon

Mortal Kombat",2,0,2,0,667
_orchyd,2025-04-01T21:05:13.000Z,april fools ?,0,0,2,0,187
natemob1,2025-04-01T21:42:23.000Z,can you delay it by an hour for me please  thank you,0,0,2,0,162
WLADSONUPLOAD,2025-04-01T22:01:42.000Z,SPONSOR,0,0,2,0,240
MiamisOG,2025-04-01T22:16:09.000Z,"Super Smash Bros 6
Mario Kart 9
New Super Mario Bros 3
Mario Super Sluggers sequel
Super Mario Galaxy 3",0,0,2,0,102
DamienDecayy,2025-04-01T23:14:33.000Z,we WILL be getting a new kid icarus game!,0,0,2,0,73
DerekCorniello,2025-04-02T00:37:18.000Z,"I only want 2 things:
- keep the switch more affordable
- mario baseball as a launch title (no chance right? )",0,0,2,0,151
WhiteRadiation6,2025-04-02T00:56:51.000Z,"If Animal Crossing, Fire Emblem, Game and Watch, Kirby, Mario, Metroid, Pikmin, Pokemon, Splatoon, Star Fox, Smash Bros, Zelda, Earthbound, F-Zero, Golden Sun, Kid Icarus, Nintendogs, Punch Out, Arms, Persona, or Dragon Ball, show up I will give everyone who replies head.",0,0,2,0,367
cukymasu_814,2025-04-02T08:55:04.000Z,It is time…,0,0,2,0,54
Cl7izx_,2025-04-02T10:13:04.000Z,KINGDOM HEARTS 4,0,0,2,0,69
BreadiScene,2025-04-02T13:56:57.000Z,LMAO,0,0,2,0,104
BeanGoofy,2025-04-02T14:01:31.000Z,Really Nintendo? No Animal Crossing? I'll buy a new switch when you release AC. This direct was so disappointing.,0,0,2,0,187
xTheEliteNerd,2025-04-01T13:16:32.000Z,"On release titles

New Mario
Metroid
Zelda

Couple of indies

A new installment from a little game that not many people know of called  Super Smash Bros

Prolly somethin silly like Super Smash Bros Frenzy

That's it really",2,0,0,0,1221
MiamisOG,2025-04-01T22:16:09.000Z,"Super Smash Bros 6
Mario Kart 9
New Super Mario Bros 3
Mario Super Sluggers sequel
Super Mario Galaxy 3",0,0,2,0,102
DamienDecayy,2025-04-01T23:14:33.000Z,we WILL be getting a new kid icarus game!,0,0,2,0,73
DerekCorniello,2025-04-02T00:37:18.000Z,"I only want 2 things:
- keep the switch more affordable
- mario baseball as a launch title (no chance right? )",0,0,2,0,151
WhiteRadiation6,2025-04-02T00:56:51.000Z,"If Animal Crossing, Fire Emblem, Game and Watch, Kirby, Mario, Metroid, Pikmin, Pokemon, Splatoon, Star Fox, Smash Bros, Zelda, Earthbound, F-Zero, Golden Sun, Kid Icarus, Nintendogs, Punch Out, Arms, Persona, or Dragon Ball, show up I will give everyone who replies head.",0,0,2,0,367
cukymasu_814,2025-04-02T08:55:04.000Z,It is time…,0,0,2,0,54
Cl7izx_,2025-04-02T10:13:04.000Z,KINGDOM HEARTS 4,0,0,2,0,69
BreadiScene,2025-04-02T13:56:57.000Z,LMAO,0,0,2,0,104
BeanGoofy,2025-04-02T14:01:31.000Z,Really Nintendo? No Animal Crossing? I'll buy a new switch when you release AC. This direct was so disappointing.,0,0,2,0,187
xTheEliteNerd,2025-04-01T13:16:32.000Z,"On release titles

New Mario
Metroid
Zelda

Couple of indies

A new installment from a little game that not many people know of called  Super Smash Bros

Prolly somethin silly like Super Smash Bros Frenzy

That's it really",2,0,0,0,1221
mylesworthy08,2025-04-01T14:23:33.000Z,60 minutes long? This could be the longest Direct ever! Can't wait for tomorrow!,0,0,0,0,399
NineSquids9,2025-04-01T14:36:31.000Z,sonic racing crossworlds,0,0,0,0,237
Magicalalette,2025-04-01T16:03:50.000Z,I'm excited bdhdjenskshhdowkah,0,0,0,0,67
YlisseanExalt0,2025-04-01T20:43:37.000Z,NaN,0,0,0,0,228
femmequads,2025-04-01T20:46:35.000Z,NEW ANIMAL CROSSING OR WE DGAF,0,0,0,0,66
Kaamstar,2025-04-01T21:35:33.000Z,NINTENDO LAND 2 I BELIEVE IN YOU,0,0,0,0,414
SL_Nebulene,2025-04-01T22:20:43.000Z,On all the souls of my enemies smash 6 reveal ,0,0,0,0,106
4_glth5020,2025-04-01T22:28:21.000Z,Please a new smash game,0,0,0,0,14
mmdman886,2025-04-01T23:15:15.000Z,I went back to the wiiu because it is a better console then the switch. There's features switch owners dream of having. The fact a 2013 console is better then a 2025 console speaks how behind the times Nintendo is. Why would I want a console that'd brick if denuvo is in games?,0,0,0,0,70
Adub8112,2025-04-02T00:03:33.000Z,A from the ground up remake of Ocarina of Time to showcase the system’s power would absolutely cook.,0,0,0,0,159
mylesworthy08,2025-04-01T14:23:33.000Z,60 minutes long? This could be the longest Direct ever! Can't wait for tomorrow!,0,0,0,0,399
NineSquids9,2025-04-01T14:36:31.000Z,sonic racing crossworlds,0,0,0,0,237
Magicalalette,2025-04-01T16:03:50.000Z,I'm excited bdhdjenskshhdowkah,0,0,0,0,67
YlisseanExalt0,2025-04-01T20:43:37.000Z,NaN,0,0,0,0,228
femmequads,2025-04-01T20:46:35.000Z,NEW ANIMAL CROSSING OR WE DGAF,0,0,0,0,66
Kaamstar,2025-04-01T21:35:33.000Z,NINTENDO LAND 2 I BELIEVE IN YOU,0,0,0,0,414
SL_Nebulene,2025-04-01T22:20:43.000Z,On all the souls of my enemies smash 6 reveal ,0,0,0,0,106
4_glth5020,2025-04-01T22:28:21.000Z,Please a new smash game,0,0,0,0,14
mmdman886,2025-04-01T23:15:15.000Z,I went back to the wiiu because it is a better console then the switch. There's features switch owners dream of having. The fact a 2013 console is better then a 2025 console speaks how behind the times Nintendo is. Why would I want a console that'd brick if denuvo is in games?,0,0,0,0,70
Adub8112,2025-04-02T00:03:33.000Z,A from the ground up remake of Ocarina of Time to showcase the system’s power would absolutely cook.,0,0,0,0,159
T3N4L,2025-04-02T01:07:00.000Z,Feels like I’ve waited so long for this I’m so excited ,0,0,0,0,119
MilqueChoc,2025-04-02T01:26:58.000Z,I'm gonna be screaming I feel it,0,0,0,0,178
8Dice_,2025-04-02T03:24:17.000Z,Please super Mario galaxy 3 or anything Splatoon related ahhh,0,0,0,0,152
CrudePain,2025-04-02T03:25:17.000Z,Next-gen Zelda and Metroid please!,0,0,0,0,42
Ultimate_X64,2025-04-02T03:50:07.000Z,"i just gotta know, why so early, most people are busy with school/work (idk how are school/work hours in japan), besides there were some directs at 5
6PM ET before)",0,0,0,0,227
Carlos51218674,2025-04-02T05:02:17.000Z,"Well, now in all seriousness Nintendo, Y'ALL ALONGSIDE THE LEGENDARY MIYAMOTO AND IN THE SPIRIT OF IWATA ARE ABOUT TO CHANGE EVERYONE'S LIVES AND ETERNAL JOY IN GAMING FOREVER, MARIO, ZELDA, METROID, VIDEO GAMES ARE ON THE NEXT LEVEL, LET'S-A FVK*N GOOOOO!!!!",0,0,0,0,83
NintendoNewsNe3,2025-04-02T06:07:49.000Z,NaN,0,0,0,0,27
Jimmy_ruiz_j,2025-04-02T07:02:08.000Z,New smash bros. Super Mario odyssey 2!!!!!,0,0,0,0,76
Mettaton_Polly,2025-04-02T10:32:20.000Z,,0,0,0,0,25
serchole,2025-04-02T10:57:11.000Z,@BellaWeen hooooy a las 10am ptmr,0,0,0,0,36
WweSwitch,2025-04-02T03:16:43.000Z,You know what to do @wwe,0,0,0,0,28
alfofofofofo,2025-04-02T03:33:38.000Z,@aamyvu bab we r getting Switch 2’s ok,0,0,0,0,62
