username,date,text,replies,reposts,likes,bookmarks,views
Oswald_A_Lisker,2025-04-03T18:06:05.000Z,"an interesting concept for a game. But I miss Kremlings, not that it matters. I think I'm finally aging out of Nintendo games. Metroid Prime 4 might be my last one.",0,0,6,2,1901
SaulPeal,2025-04-03T17:45:35.000Z,Red Faction did this in 2001.,0,0,5,0,1513
g_bascunana,2025-04-03T16:05:11.000Z,#droptheprice,0,0,4,0,741
PapaC92,2025-04-03T15:22:32.000Z,DK 65 confirmed,0,0,3,0,2478
Tom_Foolery22,2025-04-03T19:54:47.000Z,Drop the price,0,0,2,0,321
unundon3,2025-04-04T05:24:00.000Z,Lower the prices,0,0,0,0,145
sjfostersound,2025-04-03T15:22:31.000Z,Not used to seeing DK with headgear - always see Diddy with a hat though,2,0,0,0,4886
VibingAlex69,2025-04-03T16:49:02.000Z,"Guys, what's happening in this game? You just walk around and destroy stuff? But why?",0,0,0,0,360
idrawrobots,2025-04-03T15:32:33.000Z,This game is incredible.,0,0,0,0,1417
Quadraxis666,2025-04-05T00:37:30.000Z,Donkey Kong 64 2,0,0,0,0,122
Nasdorachi,2025-04-03T22:03:48.000Z,Red Faction?,0,0,0,0,1830
32DaCrow,2025-04-05T04:17:00.000Z,wonderful,0,0,0,0,5
BigBreezy29,2025-04-03T18:31:46.000Z,4K ready,0,0,0,0,2628
jiwong_kim,2025-04-04T00:11:52.000Z,Wow that is so cool ,0,0,0,0,9
VaughnFry,2025-04-04T05:21:59.000Z,Is Donkey Kong an gorilla or a mole?,0,0,0,0,773
TheSulkyFireman,2025-04-03T18:10:38.000Z,I'm just here for all the comments..,0,0,0,0,7
ElSlug,2025-04-03T19:47:50.000Z,"That ain’t donkey Kong, that’s Seth Rogen",0,0,0,0,50
2sallads,2025-04-03T16:35:40.000Z,Day 1 purchase,0,0,0,0,1292
kadavi1202,2025-04-03T15:27:39.000Z,"Sorry, $60 is the best I can do",6,12,441,4,11297
MoebiusX9,2025-04-03T15:21:04.000Z,Monkey!,4,5,370,19,9807
ExpandDong15,2025-04-03T15:21:51.000Z,My goat so expressive,5,7,333,7,9859
Chad_Concelmo,2025-04-03T15:29:34.000Z,I have a feeling this game is going to be my entire personality this summer.,3,3,112,3,8303
ToonQueen_JM,2025-04-03T15:22:37.000Z,Looks good but lower the dang prices,2,2,159,2,5069
allansoty,2025-04-03T15:21:00.000Z,"Please, drop the prices!",6,2,150,2,9250
ShaunRiley177,2025-04-03T15:21:13.000Z,Drop the prices,0,0,113,0,2037
JPacers98,2025-04-03T15:22:21.000Z,Decrease the prices or we’re not buying,3,0,73,0,3705
TeedgeeOfficial,2025-04-03T15:29:50.000Z,it genuinely feels so weird to see people NOT be fed up with a NOA tweet involving dk,0,2,48,3,5796
huh0152,2025-04-03T15:26:00.000Z,Nobody buying this,33,0,46,0,8747
AlbarnsDemon,2025-04-03T15:23:04.000Z,Okay but can you drop the prices.,0,0,39,0,1701
jagodakloda,2025-04-03T15:20:42.000Z,Drop the prices,2,0,37,0,3427
DomesticFishy,2025-04-03T15:21:00.000Z,I LITERALLY CRIED WHEN THIS GAME WAS SHOWN. THE BEST NINTENDO CHARACTER EVER ,3,0,34,2,5899
loinmin,2025-04-03T15:22:31.000Z,hey you should listen to your customers.,2,0,34,0,976
maxpower2020,2025-04-03T15:29:45.000Z,That’s $100 please,2,0,32,0,7050
kenkaneki180,2025-04-03T15:21:20.000Z,This game has nothing to do with Donkey Kong and expecting 80€ for it is an audacity,8,0,23,0,5706
PassingPaisano,2025-04-03T15:30:09.000Z,Bring back physical copies,6,0,23,0,5757
stuartjingles,2025-04-03T15:28:48.000Z,"@NintendoAmerica @Nintendo Your poor treatment of players has gotten out of hand. From going after streamers to charging absurd amounts of money for remakes and ports, you have become more anti-consumer than any other platform. The Switch 2 is now just the Wii U 2.",6,0,18,0,664
JediNova1,2025-04-03T15:21:25.000Z,"I love it, but please drop the prices",0,0,16,0,1039
CommanderBluez,2025-04-03T15:23:21.000Z,NaN,0,0,8,0,634
SageofAges_PPN,2025-04-03T21:14:45.000Z,"There isn't if people can't buy the games
#droptheprice",0,0,4,0,75
LoperWing,2025-04-03T15:35:12.000Z,#DROPTHEPRICE,0,0,4,0,140
figureout17,2025-04-03T15:26:44.000Z,#droptheprices,0,0,4,0,272
Azomy1001,2025-04-03T23:52:31.000Z,U can just destroy the level  ,0,0,6,0,47
super8bitgamer,2025-04-03T15:21:54.000Z,I really hope Donkey Kong's redesign is temporary,13,2,6,0,4430
VaultOfAss,2025-04-03T15:21:32.000Z,k that's cool and all but what about Donkey Kong Country Returns HD,7,0,5,0,3376
HittingCrits,2025-04-03T15:27:35.000Z,DK Rampage Total Destruction.,0,0,3,0,473
docfigueroa86,2025-04-03T15:58:43.000Z,#droptheprices,0,0,3,0,132
DariusR24535200,2025-04-03T18:03:32.000Z,The gameplay looks so fun and I love how expressive Donkey Kong is I definitely can't wait to get this one. ,0,0,4,0,334
Zankai_93,2025-04-03T15:25:41.000Z,#DropthePrice,0,0,4,0,193
SuaveVillain,2025-04-03T15:34:50.000Z,That is nice and all fix the pricing of the games.,0,0,3,0,161
XD93344674,2025-04-03T16:16:31.000Z, DROP THE PRICES FOR BRAZIL ,0,0,3,0,108
GringoStarr2029,2025-04-03T15:54:10.000Z,"I honestly from the earlier parts of the trailer thought we were going to see the Rareware logo pop up. Truly gave me the DK 64 vibes.

Red Faction DK looks amazing though.",0,0,0,0,275
TheOrcaZilla,2025-04-03T15:28:58.000Z,Check out your live chat,0,0,3,0,738
ssignment,2025-04-04T02:59:15.000Z,"This console is only for rich people, sorry brokies",0,0,3,0,19
Nes_Mimikyu,2025-04-03T15:22:23.000Z,I speak for everyone when I say we want game prices to go up!!!,0,0,3,0,1040
chrisgohman,2025-04-03T15:37:56.000Z,Nobody paying $90 for this,0,0,3,0,152
JaceAVinson,2025-04-03T19:59:08.000Z,Drop the prices,0,0,2,0,65
BraveGallade,2025-04-03T16:19:43.000Z,drop the prices,0,0,2,0,170
FrankBa80120704,2025-04-03T15:23:26.000Z,Just like Wreck-It Ralph,3,0,2,0,4190
XHatesUs,2025-04-03T15:55:42.000Z,You need to drop the prices. Your pricing is ridiculous.,0,0,2,0,52
_baberum_,2025-04-03T16:11:43.000Z,DROP  THE  PRICE ,0,0,2,0,134
AaronC_VGC,2025-04-03T16:02:49.000Z,So DK is just my Choice Banded Urshifu in disguise?,0,0,2,0,149
ManixyzAbyssal,2025-04-03T15:23:47.000Z,Maybe you could get DK to punch down your prices.,0,0,2,0,448
SJogik,2025-04-03T15:23:27.000Z,#DROPTHEPRICE and this doesn't feel like DK...,0,0,2,0,296
DownForUpMaybe,2025-04-03T15:49:39.000Z,Drop the game prices,0,0,2,0,112
liurneycinemax,2025-04-03T15:49:15.000Z,DROP THE PRICE GAMES,0,0,2,0,131
MegaV0yager,2025-04-03T15:42:47.000Z,paying 70-90 dollars is insane. Drop the price of I ain't buying,0,0,2,0,220
LunarLux_,2025-04-03T15:21:17.000Z,I WILL BREAK EVERYTHING ,0,0,2,0,779
Marcinnn1998,2025-04-03T16:10:34.000Z,Drop the price,0,0,2,0,104
mpovedaa,2025-04-03T15:32:41.000Z,#droptheprice,0,0,2,0,124
TitaniusFan,2025-04-03T22:15:25.000Z,not paying $70 for this,0,0,2,0,27
CheeseMcButt,2025-04-03T15:21:14.000Z,#DropThePrices,0,0,2,0,257
prestonbon80931,2025-04-03T15:43:01.000Z,Drop the prices,0,0,2,0,159
maxvannguyen,2025-04-03T16:07:07.000Z,Drop the price,0,0,2,0,74
BottlesTheMole,2025-04-03T15:24:17.000Z,"Change the healthbar to watermelons, cowards",0,0,0,0,236
potataodguerra,2025-04-03T18:49:28.000Z,@fefejpereira parece jogaço,0,0,0,0,132
Alejandary45,2025-04-03T23:55:36.000Z,"If you could please drop the price, would be lovely.",0,0,0,0,45
DaFookas,2025-04-03T18:32:53.000Z,not paying 70 bucks for this shit,0,0,0,0,24
Dave19Brown83,2025-04-03T15:24:13.000Z,"Chat wants = Drop the prices
Chat gets = No Diddy Kong at all",0,0,0,0,359
DonAnGill,2025-04-03T16:11:24.000Z,"You dumb fuks , #droptheprice @NintendoAmerica",0,0,0,0,37
Chaosbringerkey,2025-04-03T23:23:48.000Z,LOWER THE PRICE OF THE SYSTEM,0,0,0,0,43
kaufmann_r74764,2025-04-03T16:42:03.000Z,You can break the game,0,0,0,0,103
AceOvrZero,2025-04-03T15:56:20.000Z,Not worth 80$,0,0,0,0,47
sportsmandan,2025-04-03T15:54:00.000Z,They’re not dropping the prices,0,0,0,0,121
jon_jonny2285,2025-04-03T20:19:24.000Z,"@justaguy0507 What do you think of this game? Honestly, it is the closest to Odyssey 2.",0,0,0,0,320
LoMo_tion,2025-04-04T02:22:42.000Z,THIS is $80??,0,0,0,0,15
TitaniusFan,2025-04-03T22:15:25.000Z,not paying $70 for this,0,0,2,0,27
CheeseMcButt,2025-04-03T15:21:14.000Z,#DropThePrices,0,0,2,0,257
prestonbon80931,2025-04-03T15:43:01.000Z,Drop the prices,0,0,2,0,159
maxvannguyen,2025-04-03T16:07:07.000Z,Drop the price,0,0,2,0,74
BottlesTheMole,2025-04-03T15:24:17.000Z,"Change the healthbar to watermelons, cowards",0,0,0,0,236
potataodguerra,2025-04-03T18:49:28.000Z,@fefejpereira parece jogaço,0,0,0,0,132
Alejandary45,2025-04-03T23:55:36.000Z,"If you could please drop the price, would be lovely.",0,0,0,0,45
DaFookas,2025-04-03T18:32:53.000Z,not paying 70 bucks for this shit,0,0,0,0,24
Dave19Brown83,2025-04-03T15:24:13.000Z,"Chat wants = Drop the prices
Chat gets = No Diddy Kong at all",0,0,0,0,359
DonAnGill,2025-04-03T16:11:24.000Z,"You dumb fuks , #droptheprice @NintendoAmerica",0,0,0,0,37
Chaosbringerkey,2025-04-03T23:23:48.000Z,LOWER THE PRICE OF THE SYSTEM,0,0,0,0,43
kaufmann_r74764,2025-04-03T16:42:03.000Z,You can break the game,0,0,0,0,103
AceOvrZero,2025-04-03T15:56:20.000Z,Not worth 80$,0,0,0,0,47
sportsmandan,2025-04-03T15:54:00.000Z,They’re not dropping the prices,0,0,0,0,121
jon_jonny2285,2025-04-03T20:19:24.000Z,"@justaguy0507 What do you think of this game? Honestly, it is the closest to Odyssey 2.",0,0,0,0,320
LoMo_tion,2025-04-04T02:22:42.000Z,THIS is $80??,0,0,0,0,15
ZayZay_121,2025-04-03T16:02:40.000Z,Crazy Luigi’s mansion 3 font LMAO,0,0,0,0,123
KameronKKJ,2025-04-03T15:25:31.000Z,PEAK,0,0,0,0,252
evilretardfag,2025-04-03T16:40:43.000Z,pls pls have a demo available at launch,0,0,0,0,97
YetAnime,2025-04-03T18:42:52.000Z,Fix the prices,0,0,0,0,13
DMedicEchsrick,2025-04-03T16:23:20.000Z,sould been a wario game with all this gold,0,0,0,0,53
RockOwlGaming,2025-04-03T22:39:21.000Z,"While Nintendo, it's not worth it, spending $60 was already bad enough, now you're just getting greedy with $80",0,0,0,0,37
chevyking0529,2025-04-03T16:14:28.000Z,Looks like a gamepass game 80$ for this crazy,0,0,0,0,39
So_maisumcara,2025-04-03T20:39:14.000Z,"Better make the brazilian prices good, or else im not buying",0,0,0,0,46
dramaton69,2025-04-03T23:35:56.000Z,Rare design >>>>>> trash >>>>> Miyamoto design (this game),0,0,0,0,32
MicaCrestana,2025-04-04T02:07:42.000Z,Day one for me. Loved it!!!,0,0,0,0,33
MutasMist,2025-04-04T14:51:57.000Z,#DropThePrice #NintendoSux #SkipTheSwitch2  *Drop the price of the games!,0,0,0,0,38
cammyjo2001,2025-04-03T21:15:05.000Z,@Uiatlus,0,0,0,0,48
Smaster20076,2025-04-03T16:42:08.000Z,Please drop the prices.,0,0,0,0,56
Maakunff14,2025-04-03T16:39:11.000Z,I’ve been waiting for an open world platformer for DK for 20+ years since the 64 . Hopefully we can play as the other kongs too,0,0,0,0,76
ElBartos70,2025-04-03T15:31:58.000Z,#DROPTHEPRICE and buy your games. IF not bye.,0,0,0,0,84
LGIDIOT,2025-04-03T16:03:37.000Z,Nintenscam,0,0,0,0,7
kingkrool_real,2025-04-10T00:07:31.000Z,This game is going be horrible. What game lets you destroy levels.,0,0,0,0,34
theranger420,2025-04-03T20:42:34.000Z,Lots of poor people in the comments,0,0,0,0,10
LaFredinator,2025-04-03T17:41:07.000Z,"It's also cool because he punches your wallet when you try to purchase the game! Greed never wins, nintendo!",0,0,0,0,40
GamerE_Oficial,2025-04-03T17:01:55.000Z,,0,0,0,0,40
Blinkfan180,2025-04-03T23:58:51.000Z,"How much?
£90 for parents to fork over?",0,0,0,0,18
jonathanhouetw2,2025-04-03T20:22:00.000Z,The main gimmick of this game is literally just the Bowser escape sequence from the end of Super Mario Odyssey but hey I’m not complaining here’s to a new 3D Donkey Kong game after so many years cheers,5,0,0,0,684
Sakonata04,2025-04-04T06:19:12.000Z,"I really hope this sells a bajillion copies, but something's gotta be done abt the price tag ",0,0,0,0,27
DrCrowmaster,2025-04-03T18:14:00.000Z,waiting for someone to mod wreck it ralph,0,0,0,0,56
themdarncowboys,2025-04-03T17:49:30.000Z,Gimme,0,0,0,0,36
FrostlichTheDK,2025-04-04T03:30:34.000Z,Donkey Kong looks awesome in a miner helmet. Hope we can get to wear it again. And literally punching through the entire level looks very fun too.,0,0,0,0,82
ConsoleCraz77,2025-04-03T15:35:27.000Z,This looks great... will likely be my first Switch 2 title.  I'm going to have to wait for MKW to go on sale before jumping in... $80 is just too rich for my blood.,0,0,0,0,2730
DARA_SSJ3,2025-04-03T21:31:06.000Z,DROP THE PRICE,0,0,0,0,41
Twright4444,2025-04-04T18:43:34.000Z,Lower the prices,0,0,0,0,11
pichu912,2025-04-03T17:35:02.000Z,this looks stupidly fun and i dont know why,0,0,0,0,83
sagephage,2025-04-03T16:29:17.000Z,Looks cool. A shame I won’t be playing it.,0,0,0,0,38
Fryphe_,2025-04-03T16:52:16.000Z,NaN,0,0,0,0,49
