username,date,text,replies,reposts,likes,bookmarks,views
EiRi_1970,2025-04-04T20:30:18.000Z,NaN,0,0,0,0,111
TonyMcn94431787,2025-04-03T23:48:57.000Z,"What Is This Mighty Power?! If They All Disappears To Get Deleted, Then I’ll Be Dead!! Mario Kart Fans Worldwide Stop It!!!!",0,0,0,0,5
TreiConfidence,2025-04-03T17:51:47.000Z,you guys are trying so hard to sell something not worth the money. I feel bad for those who fall for the scam.,0,0,0,0,108
In_Somnia_W,2025-04-03T15:02:32.000Z,NaN,2,4,88,0,2877
CheeseMcButt,2025-04-03T15:02:58.000Z,#DROPTHEPRICES,0,0,70,0,2041
Memes934,2025-04-03T15:03:07.000Z,DONKEY KONG CD,0,5,34,0,1444
Kirbo9Z1,2025-04-03T15:06:04.000Z,Drop the price,0,2,32,0,812
CasualGamer1231,2025-04-03T15:05:15.000Z,doesn't justify the price increases,0,0,35,0,876
Firefac78894370,2025-04-03T15:02:44.000Z,Drop the price!,0,0,33,0,981
Shineouo,2025-04-03T15:07:32.000Z,Drop the Price,0,0,27,0,1560
Hydrocity_SSB,2025-04-03T15:04:07.000Z,Dont care not paying $90 for this,3,0,19,0,1365
Smaster20076,2025-04-03T15:12:19.000Z,Please decrease the prices.,0,0,16,0,1101
52_galbitch,2025-04-03T15:14:43.000Z,LOWER THE PRICES,0,2,11,0,919
backupforjunko,2025-04-03T18:16:37.000Z,DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE DROP THE PRICE,0,2,10,0,179
SelakDaz,2025-04-03T15:03:48.000Z,DROP PRICE,0,0,14,0,396
Khurd214,2025-04-03T15:03:58.000Z,Drop the price,0,0,14,0,431
JuansCarlosTM,2025-04-03T15:07:36.000Z,NaN,0,0,13,0,307
Eine__Banane,2025-04-03T16:54:54.000Z,"hello Nintendo big fan here, can please lower the price a bit  thank you",0,0,11,0,380
Jokerotakustar,2025-04-03T15:04:03.000Z,Drop the game prices,0,0,12,0,315
wztmaizen,2025-04-03T15:06:23.000Z,Drop the price of the game,0,0,12,0,321
J_Alezzandro,2025-04-03T19:33:11.000Z,"I was going to buy it, but 90$ a game is a scam

DROP THE PRICES",2,0,11,0,306
ToyConGarageVR,2025-04-03T15:02:53.000Z,what happened to the emoji y'all,0,0,11,0,2290
acethejester_42,2025-04-03T15:16:57.000Z,Drop the bloody price then I’ll think about grabbing the game.( if I ever buy the console that is),0,0,9,0,592
jagodakloda,2025-04-03T15:05:51.000Z,Drop the prices,0,0,8,0,208
SageofAges_PPN,2025-04-03T21:05:47.000Z,"Hopefully he can throw us a bone and some lower prices
#droptheprice",0,2,3,0,52
AlbarnsDemon,2025-04-03T15:11:58.000Z,So can yall drop the price?,0,0,7,0,380
RumyJCR,2025-04-03T15:02:58.000Z,i need someone to count how many times they say “ok” on the stream,0,0,5,0,1135
D_from_S4P,2025-04-03T15:07:55.000Z,"lower your prices, again.",0,0,5,0,247
PowerJusho,2025-04-03T15:16:03.000Z,Drop the price,0,0,5,0,382
MayahWoo,2025-04-03T15:26:22.000Z,This is super cool! Would be nice to play if the price was lowered,0,0,4,0,294
SageofAges_PPN,2025-04-03T21:05:47.000Z,"Hopefully he can throw us a bone and some lower prices
#droptheprice",0,2,3,0,52
AlbarnsDemon,2025-04-03T15:11:58.000Z,So can yall drop the price?,0,0,7,0,380
RumyJCR,2025-04-03T15:02:58.000Z,i need someone to count how many times they say “ok” on the stream,0,0,5,0,1135
D_from_S4P,2025-04-03T15:07:55.000Z,"lower your prices, again.",0,0,5,0,247
PowerJusho,2025-04-03T15:16:03.000Z,Drop the price,0,0,5,0,382
MayahWoo,2025-04-03T15:26:22.000Z,This is super cool! Would be nice to play if the price was lowered,0,0,4,0,294
KiwiDaHuman,2025-04-03T15:07:45.000Z,DROP THE PRICES,0,0,4,0,378
BillyTheToilet,2025-04-03T15:03:29.000Z,I wonder if this means Donkey Kong is canonically a metal head.,4,0,3,0,1561
Widra_,2025-04-03T21:08:32.000Z,Drop the price,0,0,0,0,49
gxprtcle,2025-04-03T15:50:25.000Z,Literally Mario Kart 8 with new animations and courses.,0,0,3,0,103
spookyhours40,2025-04-03T15:07:35.000Z,This is not a $80 game.,0,0,3,0,238
BottlesTheMole,2025-04-03T15:04:19.000Z,"Imagine the timeline where we're seeing Nintendo use the words ""new"" and ""DK"" in the same tweet but they HADN'T announced Bananza beforehand.",0,0,2,0,916
JaceAVinson,2025-04-03T19:59:13.000Z,Drop the prices,0,0,2,0,89
Mikz_Nyc,2025-04-03T15:08:52.000Z,"As good as the game looks , it ain't worth $80 digital/$90 physical ( especially if the game is not in the cartridge)",0,0,2,0,1139
excaliburn3d,2025-04-03T15:02:17.000Z,Why did Nintendo tweet this twice?,2,0,2,0,3389
MFusion245,2025-04-03T16:10:37.000Z,"What is he, some kind of Metal Head?",0,0,2,0,100
Brandon_AGG,2025-04-03T15:49:54.000Z,We will not buy games for more than $70 #DropThePrice #価格を下げる,0,0,2,0,108
itbeconnorb0t,2025-04-03T15:02:12.000Z,It all looks so good ,0,0,2,0,944
XD93344674,2025-04-03T16:16:49.000Z, DROP THE PRICES FOR BRAZIL ,0,0,2,0,315
Anthony_Romijn,2025-04-03T15:39:54.000Z,Not worth €80! Definitely not €90!!,0,0,2,0,115
Romal_Wwd,2025-04-03T15:18:38.000Z,Drop the prices,0,0,2,0,113
JJ_Enton,2025-04-03T15:07:47.000Z,If only it were affordable,0,0,2,0,308
SeanaTheArtist,2025-04-03T15:07:24.000Z,Lower the prices,0,0,0,0,285
itsyaboicross,2025-04-03T16:46:31.000Z,Drop the price,0,0,0,0,37
FcK_uR_FeELinG,2025-04-03T22:06:12.000Z,The game looks good but I’m not paying 80 plus tax for a Mario game that’s not happening and I have to pay a subscription to play online my steam does more for less,0,0,0,0,124
33wwyy,2025-04-03T15:44:34.000Z,Drop the price!,0,0,0,0,129
M30413561Matias,2025-04-03T15:23:18.000Z,Muy caro,0,0,0,0,109
sapeandoandoyo,2025-04-03T15:07:13.000Z,Drop the price,0,0,0,0,110
gabrieloct_,2025-04-03T15:47:29.000Z,Drop the price,0,0,0,0,136
SJogik,2025-04-03T15:16:03.000Z,#DROPTHEPRICE,0,0,0,0,161
