username,date,text,replies,reposts,likes,bookmarks,views
NintendoAmerica,2025-04-02T14:01:37.000Z,"Kirby Air Riders, a brand-new title directed by Masahiro Sakurai, is coming exclusively to #NintendoSwitch2 in 2025! #NintendoDirect",645,11227,34848,1980,2567451
ShadowzPaine,2025-04-02T14:02:01.000Z,OUR BOY,3,25,708,14,36149
LordOfTardaria,2025-04-02T14:03:13.000Z,NaN,0,22,630,9,26096
sonicman1020,2025-04-02T14:07:16.000Z,PLEASE BRING BACK CITY TRIAL I BEG OF YOU,18,16,624,7,36219
GeneralGEEGA,2025-04-02T14:50:11.000Z,AAAAAAAAAAAAAAAAAAAA I LITERALLY JUST TALKED ABOUT THIS ON STREAM THE OTHER DAY,7,4,434,3,17038
RaynRaps,2025-04-02T14:03:45.000Z,OMG THIS WAS THE MOST FUN GAME ON MY GAMECUBE,0,0,224,2,20113
Radstads,2025-04-02T14:11:44.000Z,I used to pray for times like these,0,0,72,0,7988
RaynRaps,2025-04-02T14:04:57.000Z,Ayo the anxiety I got from that star not turnin on was crazy,0,0,47,0,7140
Clips_ETH,2025-04-02T14:07:32.000Z,"Whoa, Sakurai on board for Kirby Air Riders on ! Thats nuts, no lie.",0,0,13,0,11553
blockxs,2025-04-02T14:04:36.000Z,Exciting news for fans,0,0,9,0,9723
AlexCOGF,2025-04-02T14:34:15.000Z,WE ARE SO BACK WHAT,0,0,8,0,4228
SpeederLight1,2025-04-02T14:24:53.000Z,IM SO HYYYYYYYYPED LETS GOOOOOOOOOOOOOOO!!! ITS BAAAAAAAAAAAAAAAACK,0,0,6,0,2223
iJaadee,2025-04-02T15:47:25.000Z,OMGGGG A SEQUEL HOLY SHIIIIIT,0,0,0,0,5424
doughydaddy,2025-04-02T17:16:14.000Z,Kirby hive we are up,0,0,0,0,1179
BitBullVault,2025-04-02T14:39:15.000Z,,0,0,0,0,3748
leclerks,2025-04-02T14:31:03.000Z,Hydra my beloved,3,4,185,5,10976
brysontang,2025-04-02T14:32:19.000Z,NaN,0,5,41,2,8673
Jonatha76257883,2025-04-02T14:07:46.000Z,So this was sakurais secret game,0,0,29,0,21182
