username,date,text,replies,reposts,likes,bookmarks,views
NintendoAmerica,2025-04-02T13:25:34.000Z,"Explore the new system through tech demos, minigames, and quizzes with Nintendo Switch 2 Welcome Tour, a paid downloadable launch title for #NintendoSwitch2. #NintendoDirect",2565,3595,10659,1092,10293311
CameronRitz,2025-04-02T15:56:56.000Z,Making this a paid download is such a bizarre decision…,9,24,8551,21,101960
JoJoJosiah_,2025-04-02T14:59:48.000Z,better be 0.99 bro like we are not buying this ,20,17,2852,13,79717
deathink,2025-04-02T22:22:46.000Z,nintendo plays pot of greed again!,9,39,2002,26,49794
SynthPotato,2025-04-03T00:06:45.000Z,completely free with every PS5 btw and is such a banger they turned it into a full game that won GOTY,12,36,1788,26,62581
robvegas,2025-04-02T16:53:34.000Z,Do you remember the good old days when Tetris was for free with a new GameBoy? I miss those days.,6,15,1784,10,71496
realBasedSchizo,2025-04-03T05:44:54.000Z,Lol a PAID launch title? LMAO EVEN.,5,12,1008,15,13854
RedGamingTech,2025-04-02T16:16:49.000Z,"I'm not even a Playstation kinda guy, but even they gave away Astrobot to allow folks to get used to the new controller and functionality.",4,20,912,9,53136
Mikkeall1171,2025-04-02T17:17:49.000Z,"** Sees the free PS5 game AstroBot come with PS5 and everyone loves it**

** Decides to do the same thing, but charge for their tech demo launch title game instead **

Wild. Nintendo is gonna start trying to charge us per minute of gameplay or something someday, mark my words.",19,10,289,12,51860
KudosOnYT,2025-04-02T19:21:00.000Z,We ain't paying for a tech demo,0,0,97,0,3967
spankysully,2025-04-02T21:18:56.000Z,This needs to be free & pre-installed...,0,0,42,0,2023
dvdaltizer,2025-04-02T20:39:12.000Z,paid? lol,0,0,30,0,5760
JoJoFan177,2025-04-02T14:35:59.000Z,Why TF is this paid?,0,0,223,0,5141
teslatidbits,2025-04-02T20:12:29.000Z,"Nobody should be paying for a system demo, and anybody that does is a moron.",0,0,11,0,945
ProfPressure,2025-04-02T20:25:00.000Z,Greedyyy types really annoying,0,0,7,0,628
CryptoeJammin,2025-04-02T13:25:57.000Z,Who’s buying the Nintendo switch 2?!?,0,0,5,0,5125
Clips_ETH,2025-04-04T08:18:25.000Z,"Thats nuts, no lie! Nintendo Switch 2 Welcome Tour sounds like a blast. Cant wait! . Whats the vibe?",0,0,0,0,355
Witchypink19,2025-04-02T13:28:13.000Z,,0,0,0,0,4247
KagerisuS,2025-04-03T11:20:08.000Z,same mistake as before,3,6,175,6,11934
wakazhi,2025-04-03T02:38:23.000Z,"This would've been an obvious pack-in ""game"" for the S2 if Reggie was still there.",0,0,172,2,8810
biorunic,2025-04-03T08:13:28.000Z,">makes a tour game for their new console
> the first step of the tour is paying

what did they mean by this?",0,3,149,0,6040
DXBNIN,2025-04-02T15:14:59.000Z,So we are paying for a System Intro game?,0,0,135,0,8197
FlyingSilverCat,2025-04-02T22:21:07.000Z,"New system is $450
>Ok, better graphics = higher cost

Paid demo
>uh?

Games are $70-80, physical games are an extra $10
>wait, hold on, what??

Some games are required to be downloaded, even if you buy the physical version
>I don’t even know how to react anymore

Nintendo, are",7,13,108,5,6974
PackingProtons,2025-04-02T16:18:01.000Z,"nintendo needs a reality check, and FAST...or else they will wind up like the XBox.    this was a HORRIBLE Direct to showcase the Switch 2. I will NOT be getting one at launch.  first time ever since adulthood.",21,3,123,2,30611
pointandcircle,2025-04-02T21:28:03.000Z,"Nintendos ""shooting on their own legs"" counts with switch 2:
1. Super late launch, 2022 console at 2025
2. High price
3. Paid tech demo
4. High game price
5. Paid upgrade",9,5,108,0,5563
Quadraxis666,2025-04-02T19:25:29.000Z,Lmao. That's a whole new greed tier you've reached Nintendo. It's like locking an instruction manual behind a paywall.,0,0,105,0,2513
ron_erazo,2025-04-02T16:44:14.000Z,Should've been a free download like Astro's Playroom,0,4,89,0,3550
HamboPR,2025-04-02T22:37:44.000Z,"Honestamente no hace ningún sentido que cobren por este ""juego"". El tiempo dirá si consideran la reacción del público y cambian su plan.",8,0,95,0,32017
cerseasoulstorm,2025-04-02T23:42:57.000Z,paid? ,2,0,86,0,40416
rizarjay,2025-04-02T15:26:55.000Z,"When you say paid, you mean we get paid to play this, right? Cause it doesn't make any sense otherwise.",0,0,80,0,2584
loweffortpost,2025-04-02T19:56:47.000Z,Low effort launch title.,0,0,73,0,7104
devellloper,2025-04-02T19:53:02.000Z,"It's a weird decision, Nintendo. Demo or tutorial can't be paid for.",0,0,72,0,4298
clarnakk,2025-04-02T14:37:12.000Z,There is no way anyone is paying more than 5 dollars for this.,2,0,69,0,3413
NEHWind,2025-04-03T00:36:38.000Z,"You're selling me a commercial for a product I have to already own to appreciate? Why on Earth is this not a pack-in game? Your greed is robbing you of an obvious slam dunk, a trend for Switch 2 so far.

How many grandmothers would have bought a Wii if Wii Sports wasn't bundled?",0,2,63,0,3219
Retroboom64,2025-04-02T22:22:36.000Z,The second I saw “paid” during this I said hell no lol,0,0,61,0,7536
sarcomyces,2025-04-02T16:35:28.000Z,I’ll get a Switch 2 but I will not be paying for an intro package ,2,0,55,0,4059
