username,date,text,replies,reposts,likes,bookmarks,views
NintendoAmerica,2025-04-02T13:58:35.000Z,"The Duskbloods, a brand-new multiplayer game by FromSoftware, is coming exclusively to #NintendoSwitch2 in 2026! #NintendoDirect",638,9657,34517,2795,3298877
NeitheYAGI,2025-04-02T14:42:04.000Z,What the FUCK do you mean Switch 2 exclusive,28,26,1924,20,37800
Majewra,2025-04-02T14:00:21.000Z,Nintendo got sick of waiting for Bloodborne,7,83,1750,32,85187
discord,2025-04-02T16:17:52.000Z,NaN,18,55,934,30,81623
JBLQuantum,2025-04-02T14:07:08.000Z,"We got Mk. 1 Iron man, Dino Crisis & Yoko taro boss fight in a Fromsoft game. Hell yeah.",6,26,601,28,54344
residentevildb,2025-04-02T14:42:58.000Z,Multiplayer???,8,3,221,2,27085
BrianDevilish,2025-04-02T14:44:16.000Z,2 big reasons why I'm buying this day 1!,5,6,385,7,27200
McNolf,2025-04-02T14:21:00.000Z,"Oh no a multiplayer game, wtf",3,0,75,0,50216
MrHooboMaster,2025-04-02T14:13:15.000Z,"""multiplayer game"" brought my hype down by 60% instantly.",2,0,69,0,6865
sjfostersound,2025-04-02T14:00:18.000Z,Maybe if it sells well - a Bloodborne sequel might happen,18,0,68,0,51504
VV4VS,2025-04-02T19:17:54.000Z,Telling my kids this was LOZ: Majora's Mask,0,0,61,3,6371
GhostPandaStorm,2025-04-02T22:06:10.000Z,"Oh how it reminds of that place, that very special place ",0,0,26,0,2982
JoshBernard,2025-04-02T15:33:17.000Z,"Why is this a multiplayer game? Fromsoft multiplayer has never been the draw to these games, add in everyone using wifi on their switch and this isn't going to be fun.",7,0,22,0,13833
ScubaSuhDude,2025-04-02T14:25:31.000Z,I can't wait until this is cracked 1 hour after release on PirateBay.,9,0,21,0,26320
Whoswatchin_,2025-04-02T15:16:19.000Z,We got gwyndolin and miquella and now this.,0,0,17,2,1532
khalil_deon,2025-04-02T15:20:47.000Z,"Sony let Bloodborne collect dust in Yharnam for 10 years. Nintendo said ‘bet’, opened the gates, and made their own.

FromSoft really hit ‘new game’ instead of ‘continue.’
'Blood' in the name and everything, so we know it ain't subtle. And it's exclusive. Terrible fumble for PS.",2,2,9,0,2464
