username,date,text,replies,reposts,likes,bookmarks,views
NintendoAmerica,2025-04-02T13:25:34.000Z,"Explore the new system through tech demos, minigames, and quizzes with Nintendo Switch 2 Welcome Tour, a paid downloadable launch title for #NintendoSwitch2. #NintendoDirect",2566,3589,10657,1095,10253523
CanadianZar,2025-04-02T15:24:25.000Z,"The audacity to make a game that helps you learn about the Nintendo Switch 2 and make it PAID. 

No one is buying this game, Hell..Astro’s Playroom walks all over this & IT WAS FREE.",31,248,12222,83,137175
FuckinSkratcheR,2025-04-02T14:32:07.000Z,"rember when you got a masterpiece for free with the console

i rember",39,228,10479,81,152881
CameronRitz,2025-04-02T15:56:56.000Z,Making this a paid download is such a bizarre decision…,9,24,8535,21,101474
JoJoJosiah_,2025-04-02T14:59:48.000Z,better be 0.99 bro like we are not buying this ,20,17,2850,13,79243
deathink,2025-04-02T22:22:46.000Z,nintendo plays pot of greed again!,9,39,1995,26,49439
SynthPotato,2025-04-03T00:06:45.000Z,completely free with every PS5 btw and is such a banger they turned it into a full game that won GOTY,12,36,1778,24,62246
robvegas,2025-04-02T16:53:34.000Z,Do you remember the good old days when Tetris was for free with a new GameBoy? I miss those days.,6,15,1783,10,71237
deathink,2025-04-02T22:22:46.000Z,nintendo plays pot of greed again!,9,39,1995,26,49439
SynthPotato,2025-04-03T00:06:45.000Z,completely free with every PS5 btw and is such a banger they turned it into a full game that won GOTY,12,36,1778,24,62246
robvegas,2025-04-02T16:53:34.000Z,Do you remember the good old days when Tetris was for free with a new GameBoy? I miss those days.,6,15,1783,10,71237
realBasedSchizo,2025-04-03T05:44:54.000Z,Lol a PAID launch title? LMAO EVEN.,5,12,997,15,13623
RedGamingTech,2025-04-02T16:16:49.000Z,"I'm not even a Playstation kinda guy, but even they gave away Astrobot to allow folks to get used to the new controller and functionality.",4,20,911,9,52750
ScurvyBay,2025-04-02T16:58:42.000Z,This should be included with the system for free.,2,2,771,0,28403
CrotonZelda,2025-04-02T15:29:35.000Z,"When the pack-ins used to be free 

and COOKED",23,83,2973,48,85997
mark_SC_guy,2025-04-02T13:47:43.000Z,"Playstation dropped a 6 hour game with the ps5 for free that showcased the power of the ps5 controller. And it was so beloved it got a full game paid release several years later.

Yall can't even give us a glorified tech demo for free? Absolutely terrible",11,36,1183,11,27087
vorganicpotato2,2025-04-02T13:51:22.000Z,"Just saying the AR games on the 3Ds were free and preloaded in the system, Astro room on the ps4 is too, the ps vita also has lil tech demos preloaded, this being paid is depressing",5,7,1128,3,25779
greg16676935420,2025-04-02T15:02:29.000Z,Why is the controller so big?,23,0,510,5,38547
MoskitoByte1,2025-04-02T15:03:26.000Z,Remember when Astro Bot’s Playroom was pre-installed for free on PS5?,0,0,620,2,11587
sjfostersound,2025-04-02T13:25:58.000Z,Surprised this isn’t free,4,0,621,2,18319
ProRebornYT,2025-04-02T16:56:47.000Z,greedy little fucks,0,0,408,0,7675
plainrocktweets,2025-04-02T16:59:01.000Z,paid = retarded,17,9,360,5,7754
NerdPersona,2025-04-02T16:27:42.000Z,Why do we have to pay for a tech demo?,6,0,529,2,28536
