username,date,text,replies,reposts,likes,bookmarks,views
NintendoAmerica,2025-04-03T15:20:23.000Z,"For DK there's always a way forward! And that way often involves punching stuff.
 
Check out Nintendo Treehouse: Live | Nintendo Switch 2: https://ninten.do/6010qSISo",365,1312,10418,716,1765384
kadavi1202,2025-04-03T15:27:39.000Z,"Sorry, $60 is the best I can do",6,12,441,4,11293
MoebiusX9,2025-04-03T15:21:04.000Z,Monkey!,4,5,370,19,9805
ExpandDong15,2025-04-03T15:21:51.000Z,My goat so expressive,5,7,333,7,9857
Chad_Concelmo,2025-04-03T15:29:34.000Z,I have a feeling this game is going to be my entire personality this summer.,3,3,112,3,8301
blockxs,2025-04-03T15:39:41.000Z,Kindly lower the prices,0,0,23,0,4044
RoastM4ster9000,2025-04-03T15:22:55.000Z,DK still punching stuff while Nintendo been punching their fans in the wallet since 1985. Y'all really charging $70 for Mario to jump around like inflation ain't real smh,11,0,22,0,2845
TheLostGlitches,2025-04-03T16:46:37.000Z,,0,0,14,0,4437
SpeederLight1,2025-04-03T17:34:43.000Z,GO DK GO,0,0,5,0,1314
wealthium0,2025-04-03T15:22:03.000Z,Donkey dick needs a banana,0,0,2,0,2017
Witchypink19,2025-04-03T16:36:22.000Z,,0,0,2,0,788
cjspeed00,2025-04-03T15:43:00.000Z,"Good lord, Nintendo getting roasted Live right now",3,7,82,5,2960
BobbyTaylor,2025-04-03T19:01:51.000Z,you are pricing yourself our of a good portion of the market,2,0,38,0,1938
AncientArgonaut,2025-04-03T18:35:46.000Z,"""It really makes you think outside the box"" kinda ironic since you don't really have to think at all by the looks of it.",0,0,19,0,4417
reviewsdino2,2025-04-03T15:32:55.000Z,"I would care if I was actually able to get a Switch 2, but the scalpers are already preventing that from happening from a number of UK companies.",0,0,10,0,3138
Th3RedCom3t,2025-04-03T20:28:05.000Z,Booty be lookin good Matey,0,0,8,0,523
ZodiacThundaga,2025-04-03T16:46:00.000Z,"Woah, just like Red Faction.",0,0,7,2,2013
AlJR86,2025-04-03T17:35:34.000Z,Is that a new game or one from 15 years ago?,2,0,6,0,3677
SaulPeal,2025-04-03T17:45:35.000Z,Red Faction did this in 2001.,0,0,5,0,1513
g_bascunana,2025-04-03T16:05:11.000Z,#droptheprice,0,0,4,0,741
PapaC92,2025-04-03T15:22:32.000Z,DK 65 confirmed,0,0,3,0,2478
RavenRanks,2025-04-03T17:54:11.000Z,Lower the price,0,0,2,0,498
Tom_Foolery22,2025-04-03T19:54:47.000Z,Drop the price,0,0,2,0,321
sjfostersound,2025-04-03T15:22:31.000Z,Not used to seeing DK with headgear - always see Diddy with a hat though,2,0,0,0,4886
idrawrobots,2025-04-03T15:32:33.000Z,This game is incredible.,0,0,0,0,1417
VibingAlex69,2025-04-03T16:49:02.000Z,"Guys, what's happening in this game? You just walk around and destroy stuff? But why?",0,0,0,0,360
unundon3,2025-04-04T05:24:00.000Z,Lower the prices,0,0,0,0,145
Quadraxis666,2025-04-05T00:37:30.000Z,Donkey Kong 64 2,0,0,0,0,121
ToonQueen_JM,2025-04-03T15:22:37.000Z,Looks good but lower the dang prices,2,2,159,2,5068
allansoty,2025-04-03T15:21:00.000Z,"Please, drop the prices!",6,2,150,2,9249
ShaunRiley177,2025-04-03T15:21:13.000Z,Drop the prices,0,0,113,0,2036
